Strategy,n_drones,Plan,Sensing Mismatch %,Total Collisions,Cross Collisions,Parallel_Collisions,Cell Occupied Collisions,Total Flights Distance,Total Collision Distance,Risk of Collision,Total Duration of Flights,Number of Flights,Average Collisions per Flight
no_ca,1,"[[[[2.5, 0.0], 1], [[4.0, 1.0], 3], [[4.0, 2.0], 6], [[2.0, 2.0], 3], [[1.0, 2.0], 5], [[1.0, 1.0], 2], [[2.0, 1.0], 5], [[2.5, 0.0], 1]]]",67.12,0,0,0,0,8.921,0,0.0,9.5,7,0.0
pf_ca,1,"[[[[2.5, 0.0], 1.0], [[2.981, 0.137], 0.0], [[3.384, 0.433], 0.0], [[3.691, 0.828], 0.0], [[4.0, 1.0], 3.0], [[4.021, 1.5], 0.0], [[3.851, 1.029], 0.0], [[3.874, 1.529], 0.0], [[4.0, 2.0], 6.0], [[3.501, 2.034], 0.0], [[3.006, 2.106], 0.0], [[2.506, 2.114], 0.0], [[2.026, 1.975], 0.0], [[2.0, 2.0], 3.0], [[1.5, 2.01], 0.0], [[1.996, 1.947], 0.0], [[1.505, 2.041], 0.0], [[1.904, 2.342], 0.0], [[1.48, 2.077], 0.0], [[1.0, 2.0], 5.0], [[1.113, 1.513], 0.0], [[0.892, 1.065], 0.0], [[1.0, 1.0], 2.0], [[1.485, 1.12], 0.0], [[1.973, 1.009], 0.0], [[2.0, 1.0], 5.0], [[2.351, 0.644], 0.0], [[2.291, 0.147], 0.0], [[2.5, 0.0], 1]]]",67.12,0,0,0,0,12.276,0,0.0,14.0,28,0.0
basic_ca,1,"[[[[2.5, 0.0], 1], [[4.0, 1.0], 3], [[4.0, 2.0], 6], [[2.0, 2.0], 3], [[1.0, 2.0], 5], [[1.0, 1.0], 2], [[2.0, 1.0], 5], [[2.5, 0.0], 1]]]",67.12,0,0,0,0,8.921,0,0.0,9.5,7,0.0

no_ca,2,"[[[[2.5, 0.0], 1], [[3.0, 1.0], 4], [[3.0, 2.0], 3], [[2.0, 2.0], 2], [[1.0, 2.0], 3], [[1.0, 1.0], 6], [[2.0, 1.0], 2], [[2.5, 0.0], 1]], [[[0.0, 2.5], 1], [[1.0, 2.0], 1], [[2.0, 2.0], 1], [[2.0, 3.0], 1], [[1.0, 4.0], 1], [[2.0, 4.0], 2], [[2.0, 1.0], 1], [[1.0, 1.0], 3], [[0.0, 2.5], 1]]]",50.0,2,1,0,1,18.571,1.5,0.081,20.0,15,0.133
pf_ca,2,"[[[[2.5, 0.0], 1.0], [[2.603, 0.489], 0.0], [[2.796, 0.951], 0.0], [[3.0, 1.0], 4.0], [[3.124, 1.484], 0.0], [[2.969, 1.96], 0.0], [[3.0, 2.0], 3.0], [[2.504, 2.065], 0.0], [[2.023, 1.929], 0.0], [[2.0, 2.0], 2.0], [[1.513, 1.886], 0.0], [[1.029, 2.011], 0.0], [[1.0, 2.0], 3.0], [[1.096, 1.509], 0.0], [[0.597, 1.536], 0.0], [[0.942, 1.174], 0.0], [[1.0, 1.0], 6.0], [[1.5, 0.989], 0.0], [[1.984, 1.114], 0.0], [[2.0, 1.0], 2.0], [[2.185, 0.536], 0.0], [[1.72, 0.719], 0.0], [[2.107, 0.402], 0.0], [[1.627, 0.544], 0.0], [[1.131, 0.602], 0.0], [[1.577, 0.376], 0.0], [[2.043, 0.194], 0.0], [[2.5, 0.0], 1]], [[[0.0, 2.5], 1.0], [[0.483, 2.369], 0.0], [[0.876, 2.061], 0.0], [[1.0, 2.0], 1.0], [[1.497, 2.05], 0.0], [[1.745, 1.616], 0.0], [[2.0, 2.0], 1.0], [[2.046, 2.498], 0.0], [[1.547, 2.512], 0.0], [[1.905, 2.861], 0.0], [[2.0, 3.0], 1.0], [[1.62, 3.324], 0.0], [[1.17, 3.543], 0.0], [[1.0, 4.0], 1.0], [[1.498, 3.953], 0.0], [[1.068, 3.697], 0.0], [[1.531, 3.887], 0.0], [[2.0, 4.0], 2.0], [[1.975, 3.501], 0.0], [[2.063, 3.008], 0.0], [[2.056, 2.508], 0.0], [[2.123, 2.013], 0.0], [[1.986, 1.532], 0.0], [[1.493, 1.62], 0.0], [[1.859, 1.279], 0.0], [[2.0, 1.0], 1.0], [[2.497, 0.947], 0.0], [[1.998, 0.965], 0.0], [[2.494, 0.907], 0.0], [[1.994, 0.906], 0.0], [[2.484, 0.808], 0.0], [[1.999, 0.93], 0.0], [[2.496, 0.868], 0.0], [[1.996, 0.868], 0.0], [[2.484, 0.759], 0.0], [[1.996, 0.869], 0.0], [[2.495, 0.886], 0.0], [[1.999, 0.943], 0.0], [[2.49, 0.852], 0.0], [[2.983, 0.77], 0.0], [[2.486, 0.819], 0.0], [[2.94, 0.61], 0.0], [[2.447, 0.69], 0.0], [[2.778, 0.316], 0.0], [[3.076, -0.086], 0.0], [[2.616, 0.11], 0.0], [[2.998, -0.212], 0.0], [[2.586, 0.072], 0.0], [[3.063, -0.077], 0.0], [[2.656, 0.213], 0.0], [[2.187, 0.387], 0.0], [[2.682, 0.462], 0.0], [[3.107, 0.725], 0.0], [[3.289, 1.19], 0.0], [[2.794, 1.124], 0.0], [[2.306, 1.012], 0.0], [[1.99, 1.399], 0.0], [[1.566, 1.133], 0.0], [[1.108, 0.933], 0.0], [[1.0, 1.0], 3.0], [[0.78, 1.449], 0.0], [[0.517, 1.874], 0.0], [[0.187, 2.25], 0.0], [[0.0, 2.5], 1]]]",50.0,0,0,0,0,41.147,0,0.0,45.0,90,0.0
basic_ca,2,"[[[[2.5, 0.0], 1], [[3.0, 1.0], 4], [[3.0, 2.0], 3], [[2.0, 2.0], 2], [[1.0, 2.0], 13.0], [[1.0, 1.0], 6], [[2.0, 1.0], 2], [[2.5, 0.0], 1]], [[[0.0, 2.5], 1], [[1.0, 2.0], 1], [[2.0, 2.0], 1], [[2.0, 3.0], 1], [[1.0, 4.0], 1], [[2.0, 4.0], 2], [[2.0, 1.0], 11.0], [[1.0, 1.0], 3], [[0.0, 2.5], 1]]]",83.33,2,1,0,1,18.571,1.5,0.081,20.0,15,0.133

no_ca,3,"[[[[2.5, 0.0], 1], [[3.0, 1.0], 1], [[4.0, 1.0], 2], [[4.0, 2.0], 3], [[2.0, 2.0], 2], [[1.0, 2.0], 3], [[2.0, 1.0], 1], [[2.5, 0.0], 1]], [[[0.0, 2.5], 1], [[1.0, 2.0], 6], [[2.0, 2.0], 5], [[2.0, 3.0], 2], [[1.0, 3.0], 2], [[1.0, 4.0], 2], [[2.0, 4.0], 4], [[2.0, 1.0], 3], [[0.0, 2.5], 1]], [[[5.0, 2.5], 1], [[4.0, 3.0], 2], [[4.0, 2.0], 2], [[4.0, 1.0], 1], [[3.0, 3.0], 2], [[3.0, 4.0], 2], [[5.0, 2.5], 1]]]",48.28,4,2,0,2,29.122,4.0,0.137,31.0,21,0.19
pf_ca,3,"[[[[2.5, 0.0], 1.0], [[2.684, 0.465], 0.0], [[2.909, 0.911], 0.0], [[3.0, 1.0], 1.0], [[3.498, 1.048], 0.0], [[3.984, 0.934], 0.0], [[4.0, 1.0], 2.0], [[4.036, 1.499], 0.0], [[4.23, 1.038], 0.0], [[4.378, 0.56], 0.0], [[4.142, 1.001], 0.0], [[4.04, 1.49], 0.0], [[3.782, 1.919], 0.0], [[4.0, 2.0], 3.0], [[4.478, 1.853], 0.0], [[4.881, 2.149], 0.0], [[4.387, 2.074], 0.0], [[3.892, 2.145], 0.0], [[3.4, 2.055], 0.0], [[2.908, 1.967], 0.0], [[2.443, 2.152], 0.0], [[2.0, 2.0], 2.0], [[1.511, 2.103], 0.0], [[1.51, 1.603], 0.0], [[1.128, 1.925], 0.0], [[1.0, 2.0], 3.0], [[1.392, 1.689], 0.0], [[1.724, 1.316], 0.0], [[2.0, 1.0], 1.0], [[2.354, 0.647], 0.0], [[2.384, 0.148], 0.0], [[2.5, 0.0], 1]], [[[0.0, 2.5], 1.0], [[0.456, 2.294], 0.0], [[0.894, 2.054], 0.0], [[1.0, 2.0], 6.0], [[1.487, 2.115], 0.0], [[1.972, 1.995], 0.0], [[2.0, 2.0], 5.0], [[2.126, 2.484], 0.0], [[2.052, 2.979], 0.0], [[2.0, 3.0], 2.0], [[1.787, 3.452], 0.0], [[1.34, 3.227], 0.0], [[1.0, 3.0], 2.0], [[0.942, 3.497], 0.0], [[0.931, 2.997], 0.0], [[0.901, 3.496], 0.0], [[0.649, 3.928], 0.0], [[1.0, 4.0], 2.0], [[1.47, 4.171], 0.0], [[1.936, 3.991], 0.0], [[2.0, 4.0], 4.0], [[2.01, 3.5], 0.0], [[2.106, 3.01], 0.0], [[2.053, 2.512], 0.0], [[1.959, 2.021], 0.0], [[1.948, 1.522], 0.0], [[1.631, 1.909], 0.0], [[1.826, 1.448], 0.0], [[2.0, 1.0], 3.0], [[1.594, 1.291], 0.0], [[1.183, 1.577], 0.0], [[0.823, 1.924], 0.0], [[0.43, 2.233], 0.0], [[0.106, 2.614], 0.0], [[0.0, 2.5], 1]], [[[5.0, 2.5], 1.0], [[4.633, 2.839], 0.0], [[4.136, 2.899], 0.0], [[4.0, 3.0], 2.0], [[3.893, 2.512], 0.0], [[3.626, 2.089], 0.0], [[4.0, 2.0], 2.0], [[3.948, 1.503], 0.0], [[3.646, 1.902], 0.0], [[3.242, 2.196], 0.0], [[2.75, 2.281], 0.0], [[3.249, 2.266], 0.0], [[2.758, 2.175], 0.0], [[3.258, 2.183], 0.0], [[2.766, 2.091], 0.0], [[3.265, 2.121], 0.0], [[2.767, 2.084], 0.0], [[3.267, 2.078], 0.0], [[3.528, 1.652], 0.0], [[3.829, 1.253], 0.0], [[4.0, 1.0], 1.0], [[3.792, 1.455], 0.0], [[3.534, 1.883], 0.0], [[3.258, 2.3], 0.0], [[3.145, 2.787], 0.0], [[3.0, 3.0], 2.0], [[3.055, 3.497], 0.0], [[2.905, 3.974], 0.0], [[3.0, 4.0], 2.0], [[3.346, 3.639], 0.0], [[3.737, 3.328], 0.0], [[4.109, 2.993], 0.0], [[4.567, 2.793], 0.0], [[4.823, 2.363], 0.0], [[5.0, 2.5], 1]]]",48.28,0,0,0,0,43.761,0,0.0,49.5,99,0.0
basic_ca,3,"[[[[2.5, 0.0], 1], [[3.0, 1.0], 1], [[4.0, 1.0], 12.0], [[4.0, 2.0], 4.0], [[2.0, 2.0], 2], [[1.0, 2.0], 3], [[2.0, 1.0], 1], [[2.5, 0.0], 1]], [[[0.0, 2.5], 1], [[1.0, 2.0], 6], [[2.0, 2.0], 5], [[2.0, 3.0], 2], [[1.0, 3.0], 2], [[1.0, 4.0], 2], [[2.0, 4.0], 5.0], [[2.0, 1.0], 3], [[0.0, 2.5], 1]], [[[5.0, 2.5], 1], [[4.0, 3.0], 2], [[4.0, 2.0], 10.0], [[4.0, 1.0], 1], [[3.0, 3.0], 2], [[3.0, 4.0], 2], [[5.0, 2.5], 1]]]",50.57,2,1,0,1,29.122,2.5,0.086,31.0,21,0.095

