Strategy,n_drones,Plan,Sensing Mismatch %,Total Collisions,Cross Collisions,Parallel_Collisions,Cell Occupied Collisions,Total Flights Distance,Total Collision Distance,Risk of Collision,Total Duration of Flights,Number of Flights,Average Collisions per Flight
no_ca,1,"[[[[3.5, 0.0], 1], [[3.0, 1.0], 1], [[2.0, 2.0], 2], [[1.0, 2.0], 2], [[2.0, 3.0], 2], [[4.0, 3.0], 2], [[5.0, 2.0], 2], [[5.0, 1.0], 1], [[6.0, 1.0], 2], [[6.0, 2.0], 1], [[4.0, 2.0], 1], [[4.0, 1.0], 1], [[3.5, 0.0], 1]]]",91.37,0,0,0,0,15.479,0,0.0,16.5,12,0.0
pf_ca,1,"[[[[3.5, 0.0], 1.0], [[3.244, 0.43], 0.0], [[3.164, 0.923], 0.0], [[3.0, 1.0], 1.0], [[2.605, 1.306], 0.0], [[2.315, 1.713], 0.0], [[2.0, 2.0], 2.0], [[1.501, 1.962], 0.0], [[1.009, 2.048], 0.0], [[1.0, 2.0], 2.0], [[1.433, 2.25], 0.0], [[1.821, 2.565], 0.0], [[2.0, 3.0], 2.0], [[2.497, 3.051], 0.0], [[2.986, 2.942], 0.0], [[3.468, 3.075], 0.0], [[3.922, 2.867], 0.0], [[4.0, 3.0], 2.0], [[4.317, 2.613], 0.0], [[4.592, 2.196], 0.0], [[5.0, 2.0], 2.0], [[4.942, 1.503], 0.0], [[5.071, 1.02], 0.0], [[5.0, 1.0], 1.0], [[5.498, 0.959], 0.0], [[5.921, 1.226], 0.0], [[6.0, 1.0], 2.0], [[5.807, 1.461], 0.0], [[5.862, 1.958], 0.0], [[6.0, 2.0], 1.0], [[5.501, 1.962], 0.0], [[5.002, 1.98], 0.0], [[4.505, 2.035], 0.0], [[4.803, 2.436], 0.0], [[4.334, 2.263], 0.0], [[4.0, 2.0], 1.0], [[3.929, 1.505], 0.0], [[4.011, 1.012], 0.0], [[4.0, 1.0], 1.0], [[3.761, 0.561], 0.0], [[3.47, 0.154], 0.0], [[3.5, 0.0], 1]]]",91.37,0,0,0,0,17.287,0,0.0,21.0,41,0.0
basic_ca,1,"[[[[3.5, 0.0], 1], [[3.0, 1.0], 1], [[2.0, 2.0], 2], [[1.0, 2.0], 2], [[2.0, 3.0], 2], [[4.0, 3.0], 2], [[5.0, 2.0], 2], [[5.0, 1.0], 1], [[6.0, 1.0], 2], [[6.0, 2.0], 1], [[4.0, 2.0], 1], [[4.0, 1.0], 1], [[3.5, 0.0], 1]]]",91.37,0,0,0,0,15.479,0,0.0,16.5,12,0.0

no_ca,2,"[[[[3.5, 0.0], 1], [[3.0, 1.0], 2], [[2.0, 1.0], 1], [[2.0, 2.0], 2], [[1.0, 2.0], 1], [[1.0, 1.0], 2], [[2.0, 3.0], 1], [[3.0, 3.0], 2], [[5.0, 3.0], 2], [[5.0, 2.0], 1], [[6.0, 2.0], 2], [[4.0, 2.0], 2], [[3.0, 2.0], 1], [[4.0, 1.0], 1], [[3.5, 0.0], 1]], [[[0.0, 3.5], 1], [[1.0, 3.0], 1], [[1.0, 2.0], 1], [[2.0, 2.0], 2], [[2.0, 3.0], 1], [[3.0, 3.0], 2], [[3.0, 2.0], 1], [[2.0, 1.0], 1], [[1.0, 1.0], 3], [[1.0, 4.0], 3], [[1.0, 6.0], 2], [[2.0, 6.0], 1], [[2.0, 5.0], 1], [[0.0, 3.5], 1]]]",79.26,1,0,0,1,35.919,0.5,0.014,37.5,27,0.037
pf_ca,2,"[[[[3.5, 0.0], 1.0], [[3.219, 0.413], 0.0], [[3.196, 0.913], 0.0], [[3.0, 1.0], 2.0], [[2.503, 0.949], 0.0], [[2.053, 1.168], 0.0], [[2.0, 1.0], 1.0], [[1.963, 1.499], 0.0], [[2.043, 1.992], 0.0], [[2.0, 2.0], 2.0], [[1.504, 1.937], 0.0], [[1.02, 2.063], 0.0], [[1.0, 2.0], 1.0], [[0.81, 1.538], 0.0], [[0.977, 1.066], 0.0], [[1.0, 1.0], 2.0], [[1.206, 1.456], 0.0], [[1.488, 1.868], 0.0], [[1.685, 2.328], 0.0], [[1.964, 2.743], 0.0], [[2.0, 3.0], 1.0], [[1.643, 3.351], 0.0], [[1.247, 3.655], 0.0], [[1.743, 3.593], 0.0], [[1.608, 4.074], 0.0], [[2.002, 3.766], 0.0], [[2.356, 3.413], 0.0], [[2.802, 3.187], 0.0], [[3.0, 3.0], 2.0], [[3.5, 2.99], 0.0], [[3.952, 3.204], 0.0], [[4.448, 3.143], 0.0], [[4.94, 3.053], 0.0], [[5.0, 3.0], 2.0], [[4.932, 2.505], 0.0], [[5.017, 2.012], 0.0], [[5.0, 2.0], 1.0], [[5.5, 1.991], 0.0], [[5.995, 2.063], 0.0], [[6.0, 2.0], 2.0], [[5.5, 2.001], 0.0], [[5.014, 1.882], 0.0], [[4.524, 1.98], 0.0], [[4.052, 2.145], 0.0], [[4.0, 2.0], 2.0], [[3.5, 2.009], 0.0], [[3.068, 1.758], 0.0], [[3.0, 2.0], 1.0], [[3.293, 1.595], 0.0], [[3.704, 1.31], 0.0], [[4.0, 1.0], 1.0], [[3.732, 0.578], 0.0], [[3.243, 0.685], 0.0], [[3.544, 0.286], 0.0], [[3.5, 0.0], 1]], [[[0.0, 3.5], 1.0], [[0.429, 3.243], 0.0], [[0.904, 3.086], 0.0], [[1.0, 3.0], 1.0], [[1.012, 2.5], 0.0], [[1.497, 2.622], 0.0], [[1.241, 2.192], 0.0], [[1.0, 2.0], 1.0], [[1.481, 1.864], 0.0], [[1.116, 2.205], 0.0], [[0.636, 2.344], 0.0], [[1.135, 2.364], 0.0], [[0.648, 2.474], 0.0], [[1.13, 2.343], 0.0], [[0.657, 2.503], 0.0], [[1.12, 2.315], 0.0], [[0.809, 2.707], 0.0], [[0.74, 3.202], 0.0], [[1.149, 2.914], 0.0], [[1.383, 3.355], 0.0], [[1.582, 2.897], 0.0], [[1.883, 2.497], 0.0], [[2.323, 2.735], 0.0], [[2.047, 2.318], 0.0], [[2.0, 2.0], 2.0], [[2.394, 2.308], 0.0], [[2.838, 2.537], 0.0], [[3.338, 2.527], 0.0], [[2.872, 2.708], 0.0], [[3.336, 2.523], 0.0], [[2.869, 2.7], 0.0], [[2.435, 2.948], 0.0], [[2.0, 3.0], 1.0], [[2.226, 2.554], 0.0], [[2.272, 2.056], 0.0], [[2.617, 2.418], 0.0], [[2.374, 1.981], 0.0], [[2.576, 2.438], 0.0], [[2.335, 2.0], 0.0], [[2.599, 2.425], 0.0], [[2.352, 1.99], 0.0], [[2.637, 2.401], 0.0], [[2.887, 2.834], 0.0], [[3.0, 3.0], 2.0], [[2.973, 2.501], 0.0], [[3.116, 2.022], 0.0], [[3.0, 2.0], 1.0], [[2.598, 1.702], 0.0], [[2.173, 1.44], 0.0], [[2.0, 1.0], 1.0], [[1.508, 0.912], 0.0], [[1.029, 1.057], 0.0], [[1.0, 1.0], 3.0], [[1.128, 1.483], 0.0], [[1.143, 1.983], 0.0], [[1.161, 2.483], 0.0], [[1.091, 2.978], 0.0], [[1.039, 3.475], 0.0], [[0.987, 3.972], 0.0], [[1.0, 4.0], 3.0], [[1.0, 4.5], 0.0], [[1.066, 4.996], 0.0], [[1.087, 5.495], 0.0], [[1.095, 5.995], 0.0], [[1.0, 6.0], 2.0], [[1.491, 5.904], 0.0], [[1.99, 5.872], 0.0], [[2.0, 6.0], 1.0], [[2.047, 5.502], 0.0], [[1.762, 5.092], 0.0], [[2.0, 5.0], 1.0], [[1.558, 4.767], 0.0], [[1.181, 4.437], 0.0], [[0.766, 4.159], 0.0], [[0.379, 3.843], 0.0], [[0.517, 4.323], 0.0], [[0.33, 3.86], 0.0], [[0.0, 3.5], 1]]]",79.26,0,0,0,0,57.434,0,0.0,66.0,131,0.0
basic_ca,2,"[[[[3.5, 0.0], 1], [[3.0, 1.0], 2], [[2.0, 1.0], 3.0], [[2.0, 2.0], 2], [[1.0, 2.0], 1], [[1.0, 1.0], 2], [[2.0, 3.0], 1], [[3.0, 3.0], 2], [[5.0, 3.0], 2], [[5.0, 2.0], 1], [[6.0, 2.0], 2], [[4.0, 2.0], 2], [[3.0, 2.0], 1], [[4.0, 1.0], 1], [[3.5, 0.0], 1]], [[[0.0, 3.5], 1], [[1.0, 3.0], 1], [[1.0, 2.0], 1], [[2.0, 2.0], 2], [[2.0, 3.0], 1], [[3.0, 3.0], 2], [[3.0, 2.0], 1], [[2.0, 1.0], 1], [[1.0, 1.0], 3], [[1.0, 4.0], 3], [[1.0, 6.0], 2], [[2.0, 6.0], 1], [[2.0, 5.0], 1], [[0.0, 3.5], 1]]]",78.19,0,0,0,0,35.919,0,0.0,37.5,27,0.0

no_ca,3,"[[[[3.5, 0.0], 1], [[3.0, 1.0], 2], [[2.0, 2.0], 1], [[1.0, 2.0], 3], [[1.0, 1.0], 3], [[2.0, 3.0], 1], [[5.0, 3.0], 1], [[6.0, 1.0], 3], [[3.0, 2.0], 2], [[4.0, 1.0], 3], [[3.5, 0.0], 1]], [[[0.0, 3.5], 1], [[1.0, 2.0], 2], [[2.0, 2.0], 1], [[2.0, 3.0], 1], [[3.0, 2.0], 2], [[1.0, 1.0], 2], [[1.0, 4.0], 1], [[1.0, 5.0], 1], [[1.0, 6.0], 1], [[2.0, 6.0], 1], [[2.0, 5.0], 1], [[3.0, 4.0], 2], [[2.0, 4.0], 2], [[0.0, 3.5], 1]], [[[7.0, 3.5], 1], [[5.0, 4.0], 2], [[5.0, 3.0], 1], [[4.0, 4.0], 1], [[5.0, 6.0], 1], [[6.0, 5.0], 2], [[6.0, 3.0], 1], [[6.0, 1.0], 3], [[7.0, 3.5], 1]]]",73.89,6,2,0,4,51.446,4.0,0.078,55.5,31,0.194
pf_ca,3,"[[[[3.5, 0.0], 1.0], [[3.247, 0.431], 0.0], [[3.1, 0.909], 0.0], [[3.0, 1.0], 2.0], [[2.616, 1.32], 0.0], [[2.337, 1.735], 0.0], [[2.0, 2.0], 1.0], [[1.503, 2.057], 0.0], [[1.872, 1.719], 0.0], [[2.314, 1.485], 0.0], [[2.764, 1.267], 0.0], [[2.279, 1.389], 0.0], [[2.419, 0.909], 0.0], [[2.015, 1.203], 0.0], [[1.919, 0.712], 0.0], [[1.671, 1.147], 0.0], [[1.407, 1.571], 0.0], [[1.259, 2.049], 0.0], [[1.0, 2.0], 3.0], [[0.907, 1.509], 0.0], [[1.06, 1.033], 0.0], [[1.0, 1.0], 3.0], [[1.264, 1.424], 0.0], [[1.465, 1.883], 0.0], [[1.108, 2.234], 0.0], [[1.504, 2.539], 0.0], [[1.869, 2.881], 0.0], [[2.0, 3.0], 1.0], [[2.5, 2.996], 0.0], [[2.999, 3.03], 0.0], [[3.498, 2.998], 0.0], [[3.996, 2.961], 0.0], [[4.481, 3.083], 0.0], [[4.214, 2.661], 0.0], [[4.663, 2.88], 0.0], [[5.0, 3.0], 1.0], [[5.145, 2.522], 0.0], [[5.389, 2.085], 0.0], [[5.647, 1.656], 0.0], [[5.897, 1.224], 0.0], [[6.0, 1.0], 3.0], [[5.554, 1.227], 0.0], [[5.083, 1.393], 0.0], [[4.596, 1.507], 0.0], [[4.124, 1.671], 0.0], [[3.661, 1.86], 0.0], [[3.218, 2.092], 0.0], [[3.0, 2.0], 2.0], [[3.303, 1.602], 0.0], [[3.644, 1.236], 0.0], [[4.0, 1.0], 3.0], [[3.771, 0.555], 0.0], [[3.5, 0.135], 0.0], [[3.5, 0.0], 1]], [[[0.0, 3.5], 1.0], [[0.283, 3.088], 0.0], [[0.544, 2.661], 0.0], [[0.855, 2.27], 0.0], [[1.0, 2.0], 2.0], [[1.5, 1.997], 0.0], [[1.012, 2.107], 0.0], [[0.514, 2.151], 0.0], [[1.0, 2.034], 0.0], [[0.502, 2.078], 0.0], [[1.002, 2.05], 0.0], [[1.479, 1.9], 0.0], [[1.929, 2.118], 0.0], [[2.0, 2.0], 1.0], [[1.925, 2.494], 0.0], [[2.137, 2.948], 0.0], [[2.0, 3.0], 1.0], [[2.348, 2.641], 0.0], [[2.657, 2.248], 0.0], [[3.0, 2.0], 2.0], [[2.571, 1.744], 0.0], [[2.151, 1.471], 0.0], [[1.668, 1.343], 0.0], [[2.11, 1.577], 0.0], [[1.648, 1.385], 0.0], [[2.099, 1.603], 0.0], [[1.629, 1.43], 0.0], [[2.073, 1.661], 0.0], [[2.571, 1.62], 0.0], [[2.096, 1.465], 0.0], [[1.618, 1.317], 0.0], [[1.169, 1.097], 0.0], [[1.0, 1.0], 2.0], [[0.984, 1.5], 0.0], [[0.979, 2.0], 0.0], [[1.035, 2.497], 0.0], [[1.019, 2.996], 0.0], [[1.09, 3.491], 0.0], [[1.574, 3.367], 0.0], [[1.167, 3.657], 0.0], [[1.0, 4.0], 1.0], [[0.999, 4.5], 0.0], [[0.705, 4.905], 0.0], [[1.0, 5.0], 1.0], [[1.0, 5.5], 0.0], [[0.539, 5.693], 0.0], [[0.929, 6.006], 0.0], [[1.0, 6.0], 1.0], [[1.484, 5.873], 0.0], [[1.964, 6.014], 0.0], [[2.0, 6.0], 1.0], [[1.958, 5.502], 0.0], [[2.052, 5.011], 0.0], [[2.0, 5.0], 1.0], [[2.309, 4.607], 0.0], [[2.743, 4.359], 0.0], [[3.0, 4.0], 2.0], [[2.52, 3.861], 0.0], [[2.032, 3.969], 0.0], [[2.0, 4.0], 2.0], [[1.51, 3.898], 0.0], [[1.022, 3.791], 0.0], [[0.541, 3.656], 0.0], [[0.943, 3.359], 0.0], [[0.451, 3.448], 0.0], [[0.0, 3.5], 1]], [[[7.0, 3.5], 1.0], [[6.517, 3.629], 0.0], [[6.05, 3.807], 0.0], [[5.553, 3.863], 0.0], [[5.059, 3.941], 0.0], [[5.0, 4.0], 2.0], [[4.954, 3.502], 0.0], [[4.945, 3.002], 0.0], [[5.0, 3.0], 1.0], [[4.65, 3.357], 0.0], [[4.318, 3.731], 0.0], [[4.0, 4.0], 1.0], [[4.173, 4.469], 0.0], [[4.325, 4.946], 0.0], [[4.581, 5.375], 0.0], [[4.767, 5.839], 0.0], [[5.0, 6.0], 1.0], [[5.31, 5.608], 0.0], [[5.654, 5.245], 0.0], [[6.0, 5.0], 2.0], [[5.977, 4.501], 0.0], [[5.926, 4.003], 0.0], [[5.976, 3.506], 0.0], [[6.313, 3.137], 0.0], [[6.0, 3.0], 1.0], [[6.008, 2.5], 0.0], [[5.973, 2.001], 0.0], [[5.867, 1.513], 0.0], [[5.908, 1.014], 0.0], [[6.0, 1.0], 3.0], [[6.136, 1.481], 0.0], [[6.311, 1.95], 0.0], [[6.385, 2.444], 0.0], [[6.626, 2.882], 0.0], [[6.874, 3.316], 0.0], [[7.0, 3.5], 1]]]",73.89,0,0,0,0,68.402,0,0.0,77.5,153,0.0
