type,id,x,y,z,value
SENSE,36,220.65163120020998,1628.794667500148,1.0,332
SENSE,37,220.65163120020998,1759.0982409002231,1.0,71
SENSE,38,220.65163120020998,1824.2500276002606,1.0,665
SENSE,39,220.65163120020998,1889.4018143002982,1.0,643
SENSE,40,275.81453900036115,0.0,1.0,47
SENSE,41,275.81453900036115,1237.8839472999232,1.0,1310
SENSE,42,275.81453900036115,1303.0357339999607,1.0,920
SENSE,43,275.81453900036115,1368.187520699998,1.0,422
SENSE,44,275.81453900036115,1433.3393074000355,1.0,1052
SENSE,45,275.81453900036115,1498.491094100073,1.0,738
SENSE,46,275.81453900036115,1563.6428808001106,1.0,209
SENSE,47,275.81453900036115,1628.794667500148,1.0,220
SENSE,48,275.81453900036115,1693.9464542001856,1.0,125
SENSE,49,275.81453900036115,1759.0982409002231,1.0,472
SENSE,50,275.81453900036115,1824.2500276002606,1.0,551
SENSE,51,275.81453900036115,1889.4018143002982,1.0,195
SENSE,52,330.9774468001176,0.0,1.0,9
SENSE,53,330.9774468001176,1172.7321605998857,1.0,1131
SENSE,54,330.9774468001176,1237.8839472999232,1.0,1389
SENSE,55,330.9774468001176,1303.0357339999607,1.0,348
SENSE,56,330.9774468001176,1368.187520699998,1.0,579
SENSE,57,330.9774468001176,1433.3393074000355,1.0,1046
SENSE,58,330.9774468001176,1498.491094100073,1.0,219
SENSE,59,330.9774468001176,1563.6428808001106,1.0,8
SENSE,60,330.9774468001176,1628.794667500148,1.0,1143
SENSE,61,330.9774468001176,1693.9464542001856,1.0,797
SENSE,62,330.9774468001176,1759.0982409002231,1.0,779
SENSE,63,330.9774468001176,1824.2500276002606,1.0,99
SENSE,64,330.9774468001176,1889.4018143002982,1.0,37
SENSE,65,386.1403546002688,0.0,1.0,17
SENSE,66,386.1403546002688,1042.4285871998106,1.0,10
SENSE,67,386.1403546002688,1107.5803738998482,1.0,285
SENSE,68,386.1403546002688,1172.7321605998857,1.0,1939
SENSE,69,386.1403546002688,1237.8839472999232,1.0,53
SENSE,70,386.1403546002688,1303.0357339999607,1.0,189
SENSE,71,386.1403546002688,1368.187520699998,1.0,1616
SENSE,72,386.1403546002688,1433.3393074000355,1.0,109
SENSE,73,386.1403546002688,1498.491094100073,1.0,175
SENSE,74,386.1403546002688,1563.6428808001106,1.0,531
SENSE,75,386.1403546002688,1628.794667500148,1.0,307
SENSE,76,386.1403546002688,1693.9464542001856,1.0,908
SENSE,77,386.1403546002688,1759.0982409002231,1.0,563
SENSE,78,386.1403546002688,1824.2500276002606,1.0,148
SENSE,79,386.1403546002688,1889.4018143002982,1.0,42
SENSE,80,441.30326240002523,0.0,1.0,2
SENSE,81,441.30326240002523,1042.4285871998106,1.0,641
SENSE,82,441.30326240002523,1107.5803738998482,1.0,1291
SENSE,83,441.30326240002523,1172.7321605998857,1.0,14
SENSE,84,441.30326240002523,1237.8839472999232,1.0,155
SENSE,85,441.30326240002523,1303.0357339999607,1.0,2820
SENSE,86,441.30326240002523,1368.187520699998,1.0,75
SENSE,87,441.30326240002523,1433.3393074000355,1.0,40
SENSE,88,441.30326240002523,1498.491094100073,1.0,26
SENSE,89,441.30326240002523,1563.6428808001106,1.0,393
SENSE,90,441.30326240002523,1628.794667500148,1.0,1217
SENSE,91,441.30326240002523,1693.9464542001856,1.0,370
SENSE,92,441.30326240002523,1759.0982409002231,1.0,584
SENSE,93,441.30326240002523,1824.2500276002606,1.0,96
SENSE,94,441.30326240002523,1889.4018143002982,1.0,28
SENSE,95,496.4661702001764,912.1250137997356,1.0,21
SENSE,96,496.4661702001764,977.2768004997731,1.0,194
SENSE,97,496.4661702001764,1042.4285871998106,1.0,1278
SENSE,98,496.4661702001764,1107.5803738998482,1.0,173
SENSE,99,496.4661702001764,1172.7321605998857,1.0,268
SENSE,100,496.4661702001764,1237.8839472999232,1.0,2457
SENSE,101,496.4661702001764,1303.0357339999607,1.0,1085
SENSE,102,496.4661702001764,1368.187520699998,1.0,271
SENSE,103,496.4661702001764,1498.491094100073,1.0,39
SENSE,104,496.4661702001764,1563.6428808001106,1.0,1678
SENSE,105,496.4661702001764,1628.794667500148,1.0,97
SENSE,106,496.4661702001764,1693.9464542001856,1.0,40
SENSE,107,496.4661702001764,1759.0982409002231,1.0,6
SENSE,108,551.6290779999329,846.9732270996981,1.0,2
SENSE,109,551.6290779999329,912.1250137997356,1.0,239
SENSE,110,551.6290779999329,977.2768004997731,1.0,1357
SENSE,111,551.6290779999329,1042.4285871998106,1.0,235
SENSE,112,551.6290779999329,1107.5803738998482,1.0,186
SENSE,113,551.6290779999329,1172.7321605998857,1.0,1894
SENSE,114,551.6290779999329,1237.8839472999232,1.0,578
SENSE,115,551.6290779999329,1303.0357339999607,1.0,124
SENSE,116,551.6290779999329,1368.187520699998,1.0,798
SENSE,117,551.6290779999329,1433.3393074000355,1.0,56
SENSE,118,551.6290779999329,1498.491094100073,1.0,165
SENSE,119,551.6290779999329,1563.6428808001106,1.0,420
SENSE,120,551.6290779999329,1628.794667500148,1.0,49
SENSE,121,551.6290779999329,1693.9464542001856,1.0,5
SENSE,122,606.791985800084,781.8214403996606,1.0,14
SENSE,123,606.791985800084,846.9732270996981,1.0,277
SENSE,124,606.791985800084,912.1250137997356,1.0,1633
SENSE,125,606.791985800084,1042.4285871998106,1.0,9
SENSE,126,606.791985800084,1107.5803738998482,1.0,1658
SENSE,127,606.791985800084,1172.7321605998857,1.0,342
SENSE,128,606.791985800084,1237.8839472999232,1.0,558
SENSE,129,606.791985800084,1303.0357339999607,1.0,515
SENSE,130,606.791985800084,1368.187520699998,1.0,427
SENSE,131,606.791985800084,1433.3393074000355,1.0,790
SENSE,132,606.791985800084,1498.491094100073,1.0,719
SENSE,133,606.791985800084,1563.6428808001106,1.0,141
SENSE,134,606.791985800084,1628.794667500148,1.0,882
SENSE,135,606.791985800084,1693.9464542001856,1.0,864
SENSE,136,661.9548936002352,716.669653699623,1.0,6
SENSE,137,661.9548936002352,781.8214403996606,1.0,255
SENSE,138,661.9548936002352,846.9732270996981,1.0,2868
SENSE,139,661.9548936002352,912.1250137997356,1.0,84
SENSE,140,661.9548936002352,977.2768004997731,1.0,17
SENSE,141,661.9548936002352,1042.4285871998106,1.0,1782
SENSE,142,661.9548936002352,1107.5803738998482,1.0,570
SENSE,143,661.9548936002352,1172.7321605998857,1.0,621
SENSE,144,661.9548936002352,1237.8839472999232,1.0,408
SENSE,145,661.9548936002352,1303.0357339999607,1.0,76
SENSE,146,661.9548936002352,1368.187520699998,1.0,342
SENSE,147,661.9548936002352,1433.3393074000355,1.0,1143
SENSE,148,661.9548936002352,1498.491094100073,1.0,362
SENSE,149,661.9548936002352,1563.6428808001106,1.0,377
SENSE,150,661.9548936002352,1628.794667500148,1.0,1455
SENSE,151,661.9548936002352,1693.9464542001856,1.0,2
SENSE,152,717.1178013999917,521.2142936003,1.0,2
SENSE,153,717.1178013999917,586.366080299548,1.0,6
SENSE,154,717.1178013999917,651.5178670003751,1.0,69
SENSE,155,717.1178013999917,716.669653699623,1.0,1276
SENSE,156,717.1178013999917,781.8214403996606,1.0,3087
SENSE,157,717.1178013999917,846.9732270996981,1.0,46
SENSE,158,717.1178013999917,912.1250137997356,1.0,29
SENSE,159,717.1178013999917,977.2768004997731,1.0,1459
SENSE,160,717.1178013999917,1042.4285871998106,1.0,180
SENSE,161,717.1178013999917,1107.5803738998482,1.0,148
SENSE,162,717.1178013999917,1172.7321605998857,1.0,142
SENSE,163,717.1178013999917,1237.8839472999232,1.0,766
SENSE,164,717.1178013999917,1303.0357339999607,1.0,956
SENSE,165,717.1178013999917,1368.187520699998,1.0,1523
SENSE,166,717.1178013999917,1433.3393074000355,1.0,59
SENSE,167,717.1178013999917,1498.491094100073,1.0,296
SENSE,168,717.1178013999917,1563.6428808001106,1.0,1058
SENSE,169,717.1178013999917,1628.794667500148,1.0,371
SENSE,170,717.1178013999917,1693.9464542001856,1.0,3
SENSE,171,772.2807092001428,390.910720200225,1.0,41
SENSE,172,772.2807092001428,456.0625069002625,1.0,2430
SENSE,173,772.2807092001428,521.2142936003,1.0,4911
SENSE,174,772.2807092001428,586.366080299548,1.0,5056
SENSE,175,772.2807092001428,651.5178670003751,1.0,4692
SENSE,176,772.2807092001428,716.669653699623,1.0,2062
SENSE,177,772.2807092001428,781.8214403996606,1.0,2158
SENSE,178,772.2807092001428,846.9732270996981,1.0,3392
SENSE,179,772.2807092001428,912.1250137997356,1.0,4722
