type,id,x,y,z,value
SENSE,172,717.8881710001783,1498.491094100073,1.0,675
SENSE,173,717.8881710001783,1563.6428808001106,1.0,2606
SENSE,174,717.8881710001783,1628.794667500148,1.0,988
SENSE,175,717.8881710001783,1693.9464542001856,1.0,11
SENSE,176,773.1103379997062,390.910720200225,1.0,122
SENSE,177,773.1103379997062,456.0625069002625,1.0,5309
SENSE,178,773.1103379997062,521.2142936003,1.0,10782
SENSE,179,773.1103379997062,586.366080299548,1.0,11852
SENSE,180,773.1103379997062,651.5178670003751,1.0,11592
SENSE,181,773.1103379997062,716.669653699623,1.0,5427
SENSE,182,773.1103379997062,781.8214403996606,1.0,4834
SENSE,183,773.1103379997062,846.9732270996981,1.0,6815
SENSE,184,773.1103379997062,912.1250137997356,1.0,9664
SENSE,185,773.1103379997062,977.2768004997731,1.0,387
SENSE,186,773.1103379997062,1042.4285871998106,1.0,71
SENSE,187,773.1103379997062,1107.5803738998482,1.0,80
SENSE,188,773.1103379997062,1172.7321605998857,1.0,25
SENSE,189,773.1103379997062,1237.8839472999232,1.0,692
SENSE,190,773.1103379997062,1303.0357339999607,1.0,3157
SENSE,191,773.1103379997062,1368.187520699998,1.0,1129
SENSE,192,773.1103379997062,1433.3393074000355,1.0,1084
SENSE,193,773.1103379997062,1498.491094100073,1.0,1186
SENSE,194,773.1103379997062,1563.6428808001106,1.0,420
SENSE,195,773.1103379997062,1628.794667500148,1.0,42
SENSE,196,828.3325050000235,260.60714680015,1.0,4
SENSE,197,828.3325050000235,325.75893350018754,1.0,36
SENSE,198,828.3325050000235,390.910720200225,1.0,52
SENSE,199,828.3325050000235,456.0625069002625,1.0,1529
SENSE,200,828.3325050000235,521.2142936003,1.0,6333
SENSE,201,828.3325050000235,586.366080299548,1.0,9667
SENSE,202,828.3325050000235,651.5178670003751,1.0,9137
SENSE,203,828.3325050000235,716.669653699623,1.0,9954
SENSE,204,828.3325050000235,781.8214403996606,1.0,13160
SENSE,205,828.3325050000235,846.9732270996981,1.0,13340
SENSE,206,828.3325050000235,912.1250137997356,1.0,2022
SENSE,207,828.3325050000235,977.2768004997731,1.0,217
SENSE,208,828.3325050000235,1042.4285871998106,1.0,235
SENSE,209,828.3325050000235,1107.5803738998482,1.0,63
SENSE,210,828.3325050000235,1172.7321605998857,1.0,1172
SENSE,211,828.3325050000235,1237.8839472999232,1.0,3611
SENSE,212,828.3325050000235,1303.0357339999607,1.0,389
SENSE,213,828.3325050000235,1368.187520699998,1.0,621
SENSE,214,828.3325050000235,1433.3393074000355,1.0,1278
SENSE,215,828.3325050000235,1498.491094100073,1.0,1021
SENSE,216,828.3325050000235,1563.6428808001106,1.0,82
SENSE,217,883.5546720003408,195.4553601001125,1.0,426
SENSE,218,883.5546720003408,260.60714680015,1.0,1093
SENSE,219,883.5546720003408,325.75893350018754,1.0,1368
SENSE,220,883.5546720003408,390.910720200225,1.0,1445
SENSE,221,883.5546720003408,456.0625069002625,1.0,4002
SENSE,222,883.5546720003408,521.2142936003,1.0,960
SENSE,223,883.5546720003408,586.366080299548,1.0,805
SENSE,224,883.5546720003408,651.5178670003751,1.0,2267
SENSE,225,883.5546720003408,716.669653699623,1.0,3765
SENSE,226,883.5546720003408,781.8214403996606,1.0,10087
SENSE,227,883.5546720003408,846.9732270996981,1.0,4237
SENSE,228,883.5546720003408,912.1250137997356,1.0,556
SENSE,229,883.5546720003408,977.2768004997731,1.0,76
SENSE,230,883.5546720003408,1042.4285871998106,1.0,574
SENSE,231,883.5546720003408,1107.5803738998482,1.0,1394
SENSE,232,883.5546720003408,1172.7321605998857,1.0,2027
SENSE,233,883.5546720003408,1237.8839472999232,1.0,165
SENSE,234,883.5546720003408,1303.0357339999607,1.0,288
SENSE,235,883.5546720003408,1368.187520699998,1.0,789
SENSE,236,883.5546720003408,1433.3393074000355,1.0,369
SENSE,237,883.5546720003408,1498.491094100073,1.0,146
SENSE,238,938.7768389998687,521.2142936003,1.0,7
SENSE,239,938.7768389998687,586.366080299548,1.0,1220
SENSE,240,938.7768389998687,651.5178670003751,1.0,4078
