Strategy,n_drones,Plan,Sensing Mismatch %,Total Collisions,Cross Collisions,Parallel_Collisions,Cell Occupied Collisions,Total Flights Distance,Total Collision Distance,Risk of Collision,Total Duration of Flights,Number of Flights,Average Collisions per Flight
no_ca,1,"[[[[-0.8299, -0.47], 1], [[-0.5533, -0.235], 1], [[-0.5533, 0.235], 1], [[0.0, 0.235], 1], [[0.0, -0.235], 12], [[0.5533, 0.235], 11], [[-0.8299, -0.47], 1]]]",75.0,0,0,0,0,4.135,0,0.0,4.75,6,0.0
pf_ca,1,"[[[[-0.83, -0.47], 1.0], [[-0.667, -0.28], 0.0], [[-0.553, -0.235], 1.0], [[-0.587, 0.013], 0.0], [[-0.553, 0.235], 1.0], [[-0.306, 0.274], 0.0], [[-0.056, 0.269], 0.0], [[0.0, 0.235], 1.0], [[-0.053, -0.009], 0.0], [[0.0, -0.235], 12.0], [[0.164, -0.046], 0.0], [[0.337, 0.135], 0.0], [[0.553, 0.235], 11.0], [[0.326, 0.13], 0.0], [[0.105, 0.014], 0.0], [[-0.134, -0.058], 0.0], [[-0.338, -0.204], 0.0], [[-0.548, -0.339], 0.0], [[-0.77, -0.453], 0.0], [[-0.83, -0.47], 1]]]",75.0,0,0,0,0,4.196,0,0.0,4.75,19,0.0
basic_ca,1,"[[[[-0.8299, -0.47], 1], [[-0.5533, -0.235], 1], [[-0.5533, 0.235], 1], [[0.0, 0.235], 1], [[0.0, -0.235], 12], [[0.5533, 0.235], 11], [[-0.8299, -0.47], 1]]]",75.0,0,0,0,0,4.135,0,0.0,4.75,6,0.0

no_ca,2,"[[[[-0.8299, -0.47], 1], [[-0.5533, -0.235], 8], [[-0.5533, 0.235], 2], [[0.0, 0.235], 6], [[0.0, -0.235], 8], [[0.5533, 0.235], 1], [[-0.8299, -0.47], 1]], [[[0.8299, -0.47], 1], [[0.0, 0.235], 1], [[0.0, -0.235], 1], [[-0.5533, -0.235], 1], [[0.8299, -0.47], 1]]]",30.0,1,0,0,1,7.65,0.25,0.033,8.75,10,0.1
pf_ca,2,"[[[[-0.83, -0.47], 1.0], [[-0.658, -0.288], 0.0], [[-0.553, -0.235], 8.0], [[-0.787, -0.145], 0.0], [[-0.964, 0.031], 0.0], [[-0.756, 0.169], 0.0], [[-0.553, 0.235], 2.0], [[-0.303, 0.23], 0.0], [[-0.055, 0.258], 0.0], [[0.0, 0.235], 6.0], [[-0.049, -0.01], 0.0], [[0.0, -0.235], 8.0], [[0.2, -0.085], 0.0], [[0.358, 0.109], 0.0], [[0.553, 0.235], 1.0], [[0.341, 0.103], 0.0], [[0.12, -0.014], 0.0], [[-0.115, -0.1], 0.0], [[-0.309, -0.257], 0.0], [[-0.536, -0.362], 0.0], [[-0.784, -0.39], 0.0], [[-0.83, -0.47], 1]], [[[0.83, -0.47], 1.0], [[0.661, -0.286], 0.0], [[0.457, -0.141], 0.0], [[0.268, 0.022], 0.0], [[0.518, 0.01], 0.0], [[0.28, 0.088], 0.0], [[0.05, 0.185], 0.0], [[0.0, 0.235], 1.0], [[-0.061, -0.008], 0.0], [[0.0, -0.235], 1.0], [[-0.247, -0.273], 0.0], [[0.003, -0.278], 0.0], [[-0.247, -0.283], 0.0], [[0.003, -0.277], 0.0], [[-0.245, -0.31], 0.0], [[-0.02, -0.42], 0.0], [[0.218, -0.496], 0.0], [[-0.014, -0.403], 0.0], [[0.229, -0.461], 0.0], [[-0.015, -0.405], 0.0], [[0.229, -0.46], 0.0], [[0.004, -0.351], 0.0], [[-0.238, -0.287], 0.0], [[0.011, -0.26], 0.0], [[-0.239, -0.271], 0.0], [[0.011, -0.264], 0.0], [[-0.237, -0.237], 0.0], [[-0.487, -0.255], 0.0], [[-0.553, -0.235], 1.0], [[-0.45, -0.462], 0.0], [[-0.2, -0.445], 0.0], [[0.05, -0.455], 0.0], [[0.295, -0.404], 0.0], [[0.541, -0.448], 0.0], [[0.777, -0.366], 0.0], [[0.83, -0.47], 1]]]",30.0,0,0,0,0,12.939,0,0.0,14.0,56,0.0
basic_ca,2,"[[[[-0.8299, -0.47], 1], [[-0.5533, -0.235], 8], [[-0.5533, 0.235], 2], [[0.0, 0.235], 6], [[0.0, -0.235], 8], [[0.5533, 0.235], 1], [[-0.8299, -0.47], 1]], [[[0.8299, -0.47], 1], [[0.0, 0.235], 1], [[0.0, -0.235], 5.5], [[-0.5533, -0.235], 1], [[0.8299, -0.47], 1]]]",41.25,0,0,0,0,7.65,0,0.0,8.75,10,0.0

no_ca,3,"[[[[-0.8299, -0.47], 2]], [[[0.8299, -0.47], 1], [[0.5533, 0.235], 1], [[0.0, 0.235], 1], [[0.0, -0.235], 10], [[-0.5533, -0.235], 5], [[-0.5533, 0.235], 11], [[0.8299, -0.47], 1]], [[[0.8299, 0.47], 2]]]",29.41,0,0,0,0,4.356,0,0.0,5.25,6,0.0
pf_ca,3,"[[[[-0.8299, -0.47], 2]], [[[0.83, -0.47], 1.0], [[0.723, -0.244], 0.0], [[0.602, -0.025], 0.0], [[0.5, 0.203], 0.0], [[0.553, 0.235], 1.0], [[0.333, 0.117], 0.0], [[0.09, 0.175], 0.0], [[0.0, 0.235], 1.0], [[-0.016, -0.014], 0.0], [[0.0, -0.235], 10.0], [[-0.25, -0.232], 0.0], [[-0.498, -0.264], 0.0], [[-0.553, -0.235], 5.0], [[-0.397, -0.04], 0.0], [[-0.519, 0.179], 0.0], [[-0.553, 0.235], 11.0], [[-0.338, 0.107], 0.0], [[-0.099, 0.036], 0.0], [[0.144, -0.025], 0.0], [[0.374, -0.122], 0.0], [[0.581, -0.262], 0.0], [[0.726, -0.466], 0.0], [[0.83, -0.47], 1]], [[[0.8299, 0.47], 2]]]",29.41,0,0,0,0,4.623,0,0.0,5.5,22,0.0
