Strategy,n_drones,Plan,plan overflow,Sensing Mismatch %,Total Collisions,Cross Collisions,Parallel Collisions,Cell Occupied Collisions,Total Flights Distance,Total Collision Distance,Risk of Collision,Total Duration of Flights,Total Hover Duration,Number of Flights,Average Collisions per Flight
basic_ca,3,"[[[[-0.8299, -0.47], 1], [[0.0, 0.235], 2], [[0.0, -0.235], 24.5], [[0.5533, 0.235], 3.5], [[-0.8299, -0.47], 1]], [[[0.8299, -0.47], 6.0], [[0.5533, 0.235], 21.0], [[0.0, 0.235], 3.0], [[0.0, -0.235], 1], [[0.8299, -0.47], 1]], [[[0.8299, 0.47], 1], [[0.5533, 0.235], 5], [[0.0, 0.235], 21.5], [[0.0, -0.235], 3], [[-0.5533, -0.235], 2], [[-0.5533, 0.235], 2], [[0.8299, 0.47], 1]]]",,207.35,3,0,0,3,10.293,0.75,0.073,12,99.5,14,0.214
,,,,,,,,,,,,,,,
no_ca,4,"[[[[-0.8299, -0.47], 1], [[-0.5533, 0.235], 3], [[0.0, 0.235], 1], [[0.0, -0.235], 1], [[0.5533, 0.235], 1], [[-0.8299, -0.47], 1]], [[[0.8299, -0.47], 1], [[0.5533, 0.235], 1], [[0.0, 0.235], 1], [[0.0, -0.235], 1], [[-0.5533, 0.235], 3], [[0.8299, -0.47], 1]], [[[0.8299, 0.47], 1], [[0.5533, 0.235], 1], [[0.0, 0.235], 1], [[0.0, -0.235], 1], [[-0.5533, 0.235], 3], [[0.8299, 0.47], 1]], [[[-0.8299, 0.47], 1], [[-0.5533, 0.235], 3], [[0.0, -0.235], 1], [[0.0, 0.235], 1], [[0.5533, 0.235], 1], [[-0.8299, 0.47], 1]]]",,25.93,14,3,1,10,15.149,6,0.396,17.5,32,20,0.7
pf_ca,4,"[[[[-0.83, -0.47], 1.0], [[-0.719, -0.246], 0.0], [[-0.644, -0.008], 0.0], [[-0.395, -0.035], 0.0], [[-0.573, -0.211], 0.0], [[-0.488, -0.446], 0.0], [[-0.734, -0.49], 0.0], [[-0.611, -0.272], 0.0], [[-0.667, -0.516], 0.0], [[-0.587, -0.279], 0.0], [[-0.733, -0.483], 0.0], [[-0.511, -0.368], 0.0], [[-0.371, -0.575], 0.0], [[-0.572, -0.426], 0.0], [[-0.324, -0.462], 0.0], [[-0.564, -0.535], 0.0], [[-0.475, -0.301], 0.0], [[-0.667, -0.462], 0.0], [[-0.739, -0.701], 0.0], [[-0.695, -0.455], 0.0], [[-0.706, -0.205], 0.0], [[-0.835, -0.419], 0.0], [[-0.835, -0.169], 0.0], [[-0.756, 0.068], 0.0], [[-0.653, -0.16], 0.0], [[-0.85, -0.006], 0.0], [[-0.725, 0.21], 0.0], [[-0.553, 0.235], 3.0], [[-0.43, 0.452], 0.0], [[-0.24, 0.615], 0.0], [[0.01, 0.595], 0.0], [[-0.193, 0.449], 0.0], [[-0.108, 0.684], 0.0], [[0.104, 0.553], 0.0], [[0.245, 0.346], 0.0], [[0.073, 0.527], 0.0], [[0.275, 0.674], 0.0], [[0.282, 0.424], 0.0], [[0.197, 0.189], 0.0], [[0.0, 0.235], 1.0], [[0.192, 0.075], 0.0], [[-0.058, 0.081], 0.0], [[0.168, 0.189], 0.0], [[-0.076, 0.246], 0.0], [[-0.125, 0.001], 0.0], [[0.059, -0.168], 0.0], [[0.0, -0.235], 1.0], [[-0.089, -0.001], 0.0], [[0.129, -0.123], 0.0], [[0.114, 0.127], 0.0], [[0.356, 0.063], 0.0], [[0.54, 0.232], 0.0], [[0.553, 0.235], 1.0], [[0.359, 0.392], 0.0], [[0.287, 0.632], 0.0], [[0.05, 0.712], 0.0], [[-0.056, 0.486], 0.0], [[-0.051, 0.236], 0.0], [[-0.238, 0.07], 0.0], [[-0.329, 0.303], 0.0], [[-0.467, 0.094], 0.0], [[-0.676, 0.23], 0.0], [[-0.721, -0.016], 0.0], [[-0.957, -0.096], 0.0], [[-0.89, -0.337], 0.0], [[-0.83, -0.47], 1]], [[[0.83, -0.47], 1.0], [[0.612, -0.348], 0.0], [[0.862, -0.343], 0.0], [[1.095, -0.432], 0.0], [[0.99, -0.205], 0.0], [[0.764, -0.099], 0.0], [[0.93, -0.285], 0.0], [[0.765, -0.097], 0.0], [[0.916, -0.297], 0.0], [[0.957, -0.05], 0.0], [[0.717, 0.02], 0.0], [[0.675, 0.267], 0.0], [[0.553, 0.235], 1.0], [[0.371, 0.064], 0.0], [[0.202, 0.249], 0.0], [[0.0, 0.235], 1.0], [[0.02, -0.014], 0.0], [[0.0, -0.235], 1.0], [[-0.105, -0.008], 0.0], [[0.04, -0.212], 0.0], [[-0.062, -0.44], 0.0], [[-0.269, -0.581], 0.0], [[-0.485, -0.707], 0.0], [[-0.497, -0.457], 0.0], [[-0.653, -0.652], 0.0], [[-0.887, -0.738], 0.0], [[-0.701, -0.572], 0.0], [[-0.718, -0.323], 0.0], [[-0.965, -0.282], 0.0], [[-0.839, -0.066], 0.0], [[-0.608, 0.029], 0.0], [[-0.553, 0.235], 3.0], [[-0.402, 0.036], 0.0], [[-0.652, 0.041], 0.0], [[-0.603, -0.205], 0.0], [[-0.498, -0.432], 0.0], [[-0.393, -0.658], 0.0], [[-0.256, -0.868], 0.0], [[-0.027, -0.968], 0.0], [[0.087, -1.191], 0.0], [[0.301, -1.32], 0.0], [[0.529, -1.219], 0.0], [[0.663, -1.008], 0.0], [[0.802, -0.8], 0.0], [[0.968, -0.613], 0.0], [[0.83, -0.47], 1]], [[[0.83, 0.47], 1.0], [[0.588, 0.533], 0.0], [[0.41, 0.358], 0.0], [[0.553, 0.235], 1.0], [[0.344, 0.371], 0.0], [[0.121, 0.485], 0.0], [[0.178, 0.729], 0.0], [[-0.072, 0.728], 0.0], [[0.175, 0.69], 0.0], [[-0.062, 0.611], 0.0], [[-0.087, 0.86], 0.0], [[0.083, 1.043], 0.0], [[-0.106, 0.879], 0.0], [[0.116, 0.994], 0.0], [[0.048, 0.754], 0.0], [[0.252, 0.897], 0.0], [[0.094, 0.704], 0.0], [[0.045, 0.949], 0.0], [[0.156, 0.725], 0.0], [[0.352, 0.881], 0.0], [[0.229, 0.663], 0.0], [[0.414, 0.495], 0.0], [[0.289, 0.712], 0.0], [[0.537, 0.679], 0.0], [[0.352, 0.51], 0.0], [[0.562, 0.646], 0.0], [[0.668, 0.872], 0.0], [[0.486, 0.701], 0.0], [[0.402, 0.465], 0.0], [[0.209, 0.307], 0.0], [[0.0, 0.235], 1.0], [[0.179, 0.06], 0.0], [[0.283, -0.167], 0.0], [[0.287, -0.417], 0.0], [[0.192, -0.648], 0.0], [[0.415, -0.762], 0.0], [[0.268, -0.56], 0.0], [[0.061, -0.7], 0.0], [[0.264, -0.555], 0.0], [[0.039, -0.663], 0.0], [[-0.208, -0.704], 0.0], [[-0.429, -0.819], 0.0], [[-0.265, -1.008], 0.0], [[-0.481, -1.133], 0.0], [[-0.37, -0.909], 0.0], [[-0.121, -0.916], 0.0], [[-0.283, -1.106], 0.0], [[-0.237, -0.86], 0.0], [[-0.006, -0.954], 0.0], [[0.221, -0.849], 0.0], [[0.47, -0.823], 0.0], [[0.647, -0.647], 0.0], [[0.69, -0.893], 0.0], [[0.82, -0.679], 0.0], [[0.996, -0.502], 0.0], [[0.75, -0.46], 0.0], [[0.79, -0.213], 0.0], [[0.722, 0.027], 0.0], [[0.625, 0.258], 0.0], [[0.436, 0.421], 0.0], [[0.266, 0.604], 0.0], [[0.198, 0.845], 0.0], [[0.02, 0.669], 0.0], [[-0.179, 0.517], 0.0], [[-0.323, 0.312], 0.0], [[-0.373, 0.068], 0.0], [[-0.128, 0.115], 0.0], [[-0.378, 0.105], 0.0], [[-0.283, -0.127], 0.0], [[-0.176, 0.099], 0.0], [[-0.295, -0.121], 0.0], [[-0.447, 0.077], 0.0], [[-0.644, -0.077], 0.0], [[-0.894, -0.091], 0.0], [[-0.807, -0.326], 0.0], [[-0.974, -0.512], 0.0], [[-0.763, -0.645], 0.0], [[-0.713, -0.89], 0.0], [[-0.464, -0.905], 0.0], [[-0.228, -0.988], 0.0], [[0.013, -0.923], 0.0], [[-0.058, -1.163], 0.0], [[-0.082, -0.914], 0.0], [[0.116, -0.761], 0.0], [[-0.05, -0.575], 0.0], [[-0.031, -0.325], 0.0], [[0.0, -0.235], 1.0], [[-0.129, -0.021], 0.0], [[-0.348, 0.099], 0.0], [[-0.553, 0.235], 3.0], [[-0.306, 0.275], 0.0], [[-0.061, 0.323], 0.0], [[0.122, 0.493], 0.0], [[0.326, 0.638], 0.0], [[0.574, 0.667], 0.0], [[0.814, 0.594], 0.0], [[0.83, 0.47], 1]], [[[-0.83, 0.47], 1.0], [[-0.594, 0.553], 0.0], [[-0.826, 0.646], 0.0], [[-0.667, 0.454], 0.0], [[-0.553, 0.235], 3.0], [[-0.691, 0.026], 0.0], [[-0.536, 0.223], 0.0], [[-0.545, 0.473], 0.0], [[-0.784, 0.546], 0.0], [[-1.03, 0.592], 0.0], [[-1.037, 0.842], 0.0], [[-0.871, 0.655], 0.0], [[-0.703, 0.84], 0.0], [[-0.46, 0.778], 0.0], [[-0.535, 1.016], 0.0], [[-0.301, 0.929], 0.0], [[-0.378, 1.166], 0.0], [[-0.199, 0.992], 0.0], [[-0.432, 1.081], 0.0], [[-0.49, 1.324], 0.0], [[-0.293, 1.171], 0.0], [[-0.188, 0.944], 0.0], [[-0.123, 1.186], 0.0], [[0.065, 1.35], 0.0], [[0.169, 1.123], 0.0], [[0.417, 1.156], 0.0], [[0.337, 0.919], 0.0], [[0.535, 1.072], 0.0], [[0.627, 0.839], 0.0], [[0.685, 0.596], 0.0], [[0.739, 0.352], 0.0], [[0.59, 0.151], 0.0], [[0.811, 0.035], 0.0], [[0.882, -0.205], 0.0], [[1.086, -0.349], 0.0], [[0.868, -0.471], 0.0], [[0.629, -0.545], 0.0], [[0.386, -0.485], 0.0], [[0.173, -0.616], 0.0], [[0.412, -0.541], 0.0], [[0.569, -0.347], 0.0], [[0.407, -0.537], 0.0], [[0.527, -0.318], 0.0], [[0.755, -0.421], 0.0], [[0.947, -0.262], 0.0], [[0.699, -0.231], 0.0], [[0.738, 0.016], 0.0], [[0.629, 0.241], 0.0], [[0.587, -0.006], 0.0], [[0.505, 0.23], 0.0], [[0.313, 0.39], 0.0], [[0.116, 0.544], 0.0], [[-0.132, 0.573], 0.0], [[-0.327, 0.416], 0.0], [[-0.576, 0.43], 0.0], [[-0.823, 0.389], 0.0], [[-0.63, 0.231], 0.0], [[-0.749, 0.011], 0.0], [[-0.763, -0.239], 0.0], [[-0.569, -0.396], 0.0], [[-0.473, -0.627], 0.0], [[-0.387, -0.862], 0.0], [[-0.265, -0.643], 0.0], [[-0.318, -0.888], 0.0], [[-0.568, -0.879], 0.0], [[-0.398, -0.696], 0.0], [[-0.149, -0.715], 0.0], [[-0.099, -0.47], 0.0], [[-0.089, -0.72], 0.0], [[0.098, -0.555], 0.0], [[-0.136, -0.643], 0.0], [[0.109, -0.594], 0.0], [[-0.05, -0.401], 0.0], [[0.0, -0.235], 1.0], [[0.013, 0.015], 0.0], [[0.0, 0.235], 1.0], [[0.129, 0.449], 0.0], [[0.299, 0.633], 0.0], [[0.54, 0.699], 0.0], [[0.473, 0.458], 0.0], [[0.553, 0.235], 1.0], [[0.363, 0.397], 0.0], [[0.23, 0.609], 0.0], [[0.009, 0.725], 0.0], [[-0.191, 0.875], 0.0], [[-0.425, 0.964], 0.0], [[-0.675, 0.962], 0.0], [[-0.904, 0.862], 0.0], [[-1.046, 0.656], 0.0], [[-1.214, 0.84], 0.0], [[-1.04, 0.661], 0.0], [[-1.211, 0.844], 0.0], [[-1.035, 0.666], 0.0], [[-1.064, 0.914], 0.0], [[-0.984, 0.678], 0.0], [[-1.017, 0.925], 0.0], [[-0.89, 0.71], 0.0], [[-0.83, 0.47], 1]]]",,25.93,0,0,0,0,74.335,0,0,75.75,32,303,0
basic_ca,4,"[[[[-0.8299, -0.47], 4.5], [[-0.5533, 0.235], 3], [[0.0, 0.235], 12.0], [[0.0, -0.235], 1], [[0.5533, 0.235], 2.0], [[-0.8299, -0.47], 1]], [[[0.8299, -0.47], 2.0], [[0.5533, 0.235], 1], [[0.0, 0.235], 2.0], [[0.37499999985000004, -0.014999999999999986], 0], [[0.0, -0.235], 13.0], [[-0.5533, 0.235], 3.5], [[0.8299, -0.47], 1]], [[[0.8299, 0.47], 1], [[0.5533, 0.235], 1], [[0.0, 0.235], 1], [[0.0, -0.235], 1], [[-0.5533, 0.235], 14.5], [[0.8299, 0.47], 1]], [[[-0.8299, 0.47], 1], [[-0.5533, 0.235], 3], [[0.0, -0.235], 1], [[0.0, 0.235], 1], [[0.5533, 0.235], 12.0], [[-0.8299, 0.47], 1]]]",,181.48,7,3,1,3,15.564,2.75,0.177,18,84.5,21,0.333
,,,,,,,,,,,,,,,
no_ca,1,"[[[[-0.8299, -0.47], 1], [[-0.5533, -0.235], 4], [[-0.5533, 0.235], 8], [[0.0, 0.235], 5], [[0.0, -0.235], 10], [[0.5533, 0.235], 1], [[-0.8299, -0.47], 1]]]",,48.39,0,0,0,0,4.135,0,0,4.75,30,6,0
pf_ca,1,"[[[[-0.83, -0.47], 1.0], [[-0.601, -0.369], 0.0], [[-0.553, -0.235], 4.0], [[-0.548, 0.015], 0.0], [[-0.553, 0.235], 8.0], [[-0.304, 0.215], 0.0], [[-0.068, 0.298], 0.0], [[0.0, 0.235], 5.0], [[-0.031, -0.013], 0.0], [[0.0, -0.235], 10.0], [[0.183, -0.065], 0.0], [[0.385, 0.082], 0.0], [[0.553, 0.235], 1.0], [[0.341, 0.102], 0.0], [[0.119, -0.011], 0.0], [[-0.106, -0.121], 0.0], [[-0.334, -0.224], 0.0], [[-0.578, -0.279], 0.0], [[-0.785, -0.419], 0.0], [[-0.83, -0.47], 1]]]",,48.39,0,0,0,0,4.224,0,0,4.75,30,19,0
basic_ca,1,"[[[[-0.8299, -0.47], 1], [[-0.5533, -0.235], 4], [[-0.5533, 0.235], 8], [[0.0, 0.235], 5], [[0.0, -0.235], 10], [[0.5533, 0.235], 1], [[-0.8299, -0.47], 1]]]",,48.39,0,0,0,0,4.135,0,0,4.75,30,6,0
,,,,,,,,,,,,,,,
no_ca,2,"[[[[-0.8299, -0.47], 1], [[-0.5533, -0.235], 6], [[-0.5533, 0.235], 7], [[0.0, 0.235], 5], [[0.0, -0.235], 6], [[-0.8299, -0.47], 1]], [[[0.8299, -0.47], 1], [[0.0, 0.235], 1], [[0.0, -0.235], 1], [[-0.5533, -0.235], 1], [[-0.5533, 0.235], 2], [[0.8299, -0.47], 1]]]",,25.64,2,0,0,2,6.854,0.5,0.073,8,33,10,0.2
pf_ca,2,"[[[[-0.83, -0.47], 1.0], [[-0.619, -0.336], 0.0], [[-0.553, -0.235], 6.0], [[-0.723, -0.051], 0.0], [[-0.505, 0.073], 0.0], [[-0.553, 0.235], 7.0], [[-0.315, 0.311], 0.0], [[-0.067, 0.343], 0.0], [[0.0, 0.235], 5.0], [[-0.029, -0.013], 0.0], [[0.0, -0.235], 6.0], [[-0.249, -0.256], 0.0], [[-0.49, -0.322], 0.0], [[-0.706, -0.449], 0.0], [[-0.83, -0.47], 1]], [[[0.83, -0.47], 1.0], [[0.641, -0.306], 0.0], [[0.457, -0.137], 0.0], [[0.368, 0.097], 0.0], [[0.206, 0.287], 0.0], [[0.0, 0.235], 1.0], [[0.206, 0.093], 0.0], [[0.332, -0.123], 0.0], [[0.184, -0.325], 0.0], [[0.0, -0.235], 1.0], [[-0.148, -0.034], 0.0], [[0.025, 0.146], 0.0], [[0.082, -0.097], 0.0], [[-0.159, -0.165], 0.0], [[0.086, -0.218], 0.0], [[-0.163, -0.193], 0.0], [[0.076, -0.119], 0.0], [[-0.173, -0.137], 0.0], [[0.061, -0.051], 0.0], [[0.048, -0.3], 0.0], [[-0.057, -0.527], 0.0], [[-0.278, -0.412], 0.0], [[-0.464, -0.579], 0.0], [[-0.668, -0.435], 0.0], [[-0.553, -0.235], 1.0], [[-0.304, -0.245], 0.0], [[-0.484, -0.073], 0.0], [[-0.444, -0.32], 0.0], [[-0.537, -0.552], 0.0], [[-0.634, -0.322], 0.0], [[-0.726, -0.089], 0.0], [[-0.744, -0.338], 0.0], [[-0.994, -0.332], 0.0], [[-0.811, -0.162], 0.0], [[-0.903, -0.394], 0.0], [[-0.663, -0.463], 0.0], [[-0.603, -0.221], 0.0], [[-0.615, -0.47], 0.0], [[-0.68, -0.229], 0.0], [[-0.804, -0.446], 0.0], [[-0.86, -0.203], 0.0], [[-1.108, -0.234], 0.0], [[-0.933, -0.057], 0.0], [[-1.136, -0.202], 0.0], [[-0.945, -0.041], 0.0], [[-1.142, -0.194], 0.0], [[-0.95, -0.035], 0.0], [[-0.836, 0.188], 0.0], [[-0.588, 0.218], 0.0], [[-0.553, 0.235], 2.0], [[-0.661, 0.009], 0.0], [[-0.636, -0.239], 0.0], [[-0.526, -0.464], 0.0], [[-0.343, -0.634], 0.0], [[-0.13, -0.766], 0.0], [[0.114, -0.819], 0.0], [[0.359, -0.868], 0.0], [[0.509, -0.668], 0.0], [[0.744, -0.753], 0.0], [[0.801, -0.509], 0.0], [[0.83, -0.47], 1]]]",,25.64,0,0,0,0,17.494,0,0,18.5,33,74,0
basic_ca,2,"[[[[-0.8299, -0.47], 1], [[-0.5533, -0.235], 8.0], [[-0.5533, 0.235], 7], [[0.0, 0.235], 5], [[0.0, -0.235], 6], [[-0.8299, -0.47], 1]], [[[0.8299, -0.47], 1], [[0.0, 0.235], 1], [[0.0, -0.235], 5.5], [[-0.5533, -0.235], 7.0], [[-0.5533, 0.235], 2], [[0.8299, -0.47], 1]]]",,57.69,0,0,0,0,6.854,0,0,8,45.5,10,0
,,,,,,,,,,,,,,,
no_ca,3,"[[[[-0.8299, -0.47], 1], [[-0.5533, -0.235], 3], [[0.0, -0.235], 2], [[0.5533, 0.235], 2], [[-0.8299, -0.47], 1]], [[[0.8299, -0.47], 1], [[0.5533, 0.235], 2], [[0.0, -0.235], 2], [[-0.5533, -0.235], 3], [[0.8299, -0.47], 1]], [[[0.8299, 0.47], 1], [[0.5533, 0.235], 3], [[0.0, -0.235], 4], [[-0.5533, -0.235], 5], [[0.8299, 0.47], 1]]]",,20,7,1,0,6,9.829,2,0.203,11.5,32,12,0.583
pf_ca,3,"[[[[-0.83, -0.47], 1.0], [[-0.631, -0.319], 0.0], [[-0.553, -0.235], 3.0], [[-0.304, -0.213], 0.0], [[-0.175, -0.427], 0.0], [[-0.423, -0.463], 0.0], [[-0.218, -0.319], 0.0], [[0.0, -0.235], 2.0], [[-0.04, 0.012], 0.0], [[0.058, 0.242], 0.0], [[0.143, 0.477], 0.0], [[0.349, 0.618], 0.0], [[0.599, 0.614], 0.0], [[0.39, 0.751], 0.0], [[0.338, 0.506], 0.0], [[0.528, 0.668], 0.0], [[0.642, 0.446], 0.0], [[0.553, 0.235], 2.0], [[0.303, 0.233], 0.0], [[0.057, 0.278], 0.0], [[-0.186, 0.221], 0.0], [[-0.412, 0.113], 0.0], [[-0.473, 0.355], 0.0], [[-0.695, 0.471], 0.0], [[-0.894, 0.32], 0.0], [[-1.121, 0.215], 0.0], [[-1.307, 0.048], 0.0], [[-1.112, -0.108], 0.0], [[-1.113, -0.358], 0.0], [[-1.154, -0.111], 0.0], [[-0.941, -0.243], 0.0], [[-0.812, -0.457], 0.0], [[-0.83, -0.47], 1]], [[[0.83, -0.47], 1.0], [[0.705, -0.253], 0.0], [[0.458, -0.213], 0.0], [[0.61, -0.014], 0.0], [[0.858, 0.012], 0.0], [[0.612, 0.056], 0.0], [[0.553, 0.235], 2.0], [[0.547, -0.015], 0.0], [[0.541, -0.265], 0.0], [[0.369, -0.083], 0.0], [[0.245, -0.3], 0.0], [[0.494, -0.325], 0.0], [[0.737, -0.266], 0.0], [[0.488, -0.292], 0.0], [[0.732, -0.346], 0.0], [[0.494, -0.271], 0.0], [[0.728, -0.359], 0.0], [[0.478, -0.346], 0.0], [[0.516, -0.593], 0.0], [[0.331, -0.762], 0.0], [[0.199, -0.549], 0.0], [[0.045, -0.352], 0.0], [[0.0, -0.235], 2.0], [[-0.247, -0.276], 0.0], [[-0.497, -0.274], 0.0], [[-0.553, -0.235], 3.0], [[-0.316, -0.313], 0.0], [[-0.075, -0.379], 0.0], [[0.175, -0.369], 0.0], [[0.298, -0.587], 0.0], [[0.539, -0.519], 0.0], [[0.742, -0.666], 0.0], [[0.83, -0.47], 1]], [[[0.83, 0.47], 1.0], [[0.586, 0.524], 0.0], [[0.657, 0.763], 0.0], [[0.515, 0.558], 0.0], [[0.314, 0.408], 0.0], [[0.445, 0.622], 0.0], [[0.432, 0.871], 0.0], [[0.184, 0.837], 0.0], [[0.212, 0.589], 0.0], [[0.342, 0.802], 0.0], [[0.413, 0.562], 0.0], [[0.338, 0.801], 0.0], [[0.457, 0.581], 0.0], [[0.359, 0.811], 0.0], [[0.218, 1.018], 0.0], [[0.32, 0.789], 0.0], [[0.462, 0.584], 0.0], [[0.678, 0.458], 0.0], [[0.803, 0.674], 0.0], [[1.046, 0.615], 0.0], [[0.796, 0.604], 0.0], [[0.634, 0.795], 0.0], [[0.591, 0.549], 0.0], [[0.839, 0.52], 0.0], [[0.691, 0.722], 0.0], [[0.596, 0.491], 0.0], [[0.705, 0.716], 0.0], [[0.552, 0.518], 0.0], [[0.763, 0.653], 0.0], [[0.796, 0.405], 0.0], [[1.033, 0.486], 0.0], [[1.091, 0.243], 0.0], [[1.051, -0.004], 0.0], [[0.801, -0.016], 0.0], [[1.019, 0.107], 0.0], [[0.922, -0.123], 0.0], [[1.156, -0.21], 0.0], [[0.926, -0.309], 0.0], [[1.173, -0.267], 0.0], [[1.01, -0.077], 0.0], [[0.787, 0.036], 0.0], [[0.961, -0.145], 0.0], [[1.124, 0.044], 0.0], [[0.885, 0.119], 0.0], [[1.119, 0.03], 0.0], [[1.228, -0.195], 0.0], [[0.998, -0.097], 0.0], [[0.824, 0.082], 0.0], [[1.072, 0.118], 0.0], [[0.83, 0.184], 0.0], [[0.585, 0.233], 0.0], [[0.553, 0.235], 3.0], [[0.304, 0.25], 0.0], [[0.059, 0.2], 0.0], [[0.128, -0.041], 0.0], [[0.0, -0.235], 4.0], [[-0.235, -0.15], 0.0], [[-0.443, -0.011], 0.0], [[-0.553, -0.235], 5.0], [[-0.355, -0.083], 0.0], [[-0.139, 0.044], 0.0], [[0.073, 0.176], 0.0], [[0.229, 0.371], 0.0], [[0.371, 0.577], 0.0], [[0.617, 0.529], 0.0], [[0.83, 0.47], 1]]]",,20,0,0,0,0,31.192,0,0,32.5,32,129,0
basic_ca,3,"[[[[-0.8299, -0.47], 1], [[-0.5533, -0.235], 5.0], [[-0.053299999999999986, 0.139999999925], 22.0], [[0.0, -0.235], 2], [[0.5533, 0.235], 2], [[0.05537842984379082, -0.43968445212237944], 0], [[-0.8299, -0.47], 1]], [[[0.8299, -0.47], 4.5], [[0.5533, 0.235], 3.5], [[0.0, -0.235], 20.0], [[-0.5533, -0.235], 3], [[0.8299, -0.47], 1]], [[[0.8299, 0.47], 1], [[0.5533, 0.235], 3], [[0.0, -0.235], 4], [[-0.5533, -0.235], 19.5], [[0.8299, 0.47], 1]]]",,140,1,0,0,1,10.451,0.25,0.024,12.25,93.5,14,0.071
,,,,,,,,,,,,,,,
no_ca,4,"[[[[-0.8299, -0.47], 1], [[-0.5533, -0.235], 1], [[-0.5533, 0.235], 2], [[0.0, 0.235], 3], [[0.0, -0.235], 1], [[0.5533, 0.235], 2], [[-0.8299, -0.47], 1]], [[[0.8299, -0.47], 1], [[0.5533, 0.235], 2], [[0.0, 0.235], 2], [[0.0, -0.235], 1], [[-0.5533, 0.235], 1], [[0.8299, -0.47], 1]], [[[0.8299, 0.47], 1], [[0.5533, 0.235], 2], [[0.0, 0.235], 2], [[0.0, -0.235], 1], [[-0.5533, 0.235], 1], [[0.8299, 0.47], 1]], [[[-0.8299, 0.47], 1], [[-0.5533, 0.235], 2], [[-0.5533, -0.235], 1], [[0.0, -0.235], 1], [[0.0, 0.235], 3], [[0.5533, 0.235], 2], [[-0.8299, 0.47], 1]]]",,15.15,15,1,3,11,15.522,6.25,0.403,18,38,22,0.682
