type,id,x,y,z,value
SENSE,0,-0.5533,-0.235,1,5
SENSE,1,0, -0.235,1,9
SENSE,2,0.5533,-0.235,1,4
SENSE,3,-0.5533, 0.235,1,5
SENSE,4,0,0.235,1,4
SENSE,5,0.5533,0.235,1,8
BASE,0,-0.8299,-0.47,0,0
BASE,1,0.8299,-0.47,0,0
BASE,2,0.8299, 0.47,0,0
BASE,3,-0.8299, 0.47,0,0
