Strategy,n_drones,Plan,Sensing Mismatch %,Total Collisions,Cross Collisions,Parallel Collisions,Dest. Occupied Collisions,Total Flights Distance,Total Collision Distance,Risk of Collision,Total Duration of Flights,Total Hover Duration,Number of Flights,Average Collisions per Flight
no_ca,1,"[[[[0.0, 0.0], 1], [[1.0, 1.0], 17], [[1.0, 2.0], 9], [[2.0, 1.0], 1], [[0.0, 0.0], 1]]]",90,0,0,0,0,6.064,0,0,6.25,29,4,0
pf_ca,1,"[[[[0.0, 0.0], 1.0], [[0.147, 0.202], 0.0], [[0.341, 0.36], 0.0], [[0.523, 0.532], 0.0], [[0.684, 0.723], 0.0], [[0.864, 0.897], 0.0], [[1.0, 1.0], 17.0], [[0.971, 1.248], 0.0], [[0.982, 1.498], 0.0], [[0.979, 1.748], 0.0], [[0.973, 1.998], 0.0], [[1.0, 2.0], 9.0], [[1.128, 1.785], 0.0], [[1.325, 1.631], 0.0], [[1.512, 1.466], 0.0], [[1.671, 1.273], 0.0], [[1.848, 1.096], 0.0], [[2.0, 1.0], 1.0], [[1.761, 0.926], 0.0], [[1.527, 0.839], 0.0], [[1.295, 0.745], 0.0], [[1.068, 0.64], 0.0], [[0.863, 0.497], 0.0], [[0.631, 0.403], 0.0], [[0.395, 0.321], 0.0], [[0.182, 0.191], 0.0], [[0.012, 0.007], 0.0], [[0.0, 0.0], 1]]]",90,0,0,0,0,6.142,0,0,6.75,29,27,0
basic_ca,1,"[[[[0.0, 0.0], 1], [[1.0, 1.0], 17], [[1.0, 2.0], 9], [[2.0, 1.0], 1], [[0.0, 0.0], 1]]]",90,0,0,0,0,6.064,0,0,6.25,29,4,0
,,,,,,,,,,,,,,
no_ca,2,"[[[[0.0, 0.0], 1], [[1.0, 2.0], 4], [[2.0, 1.0], 3], [[0.0, 0.0], 1]], [[[3.0, 0.0], 1], [[2.0, 1.0], 6], [[2.0, 2.0], 1], [[1.0, 1.0], 1], [[3.0, 0.0], 1]]]",64,1,1,0,0,11.951,1,0.084,12.25,19,7,0.143
pf_ca,2,"[[[[0.0, 0.0], 1.0], [[0.106, 0.226], 0.0], [[0.215, 0.451], 0.0], [[0.346, 0.664], 0.0], [[0.469, 0.882], 0.0], [[0.571, 1.11], 0.0], [[0.667, 1.341], 0.0], [[0.76, 1.573], 0.0], [[0.858, 1.803], 0.0], [[1.0, 2.0], 4.0], [[1.177, 1.823], 0.0], [[1.356, 1.649], 0.0], [[1.502, 1.446], 0.0], [[1.732, 1.347], 0.0], [[1.642, 1.581], 0.0], [[1.563, 1.343], 0.0], [[1.623, 1.101], 0.0], [[1.755, 0.888], 0.0], [[1.962, 1.029], 0.0], [[2.0, 1.0], 3.0], [[1.759, 0.934], 0.0], [[1.699, 0.691], 0.0], [[1.603, 0.461], 0.0], [[1.405, 0.309], 0.0], [[1.307, 0.079], 0.0], [[1.066, 0.148], 0.0], [[0.818, 0.123], 0.0], [[0.569, 0.097], 0.0], [[0.325, 0.041], 0.0], [[0.077, 0.066], 0.0], [[0.0, 0.0], 1]], [[[3.0, 0.0], 1.0], [[2.821, 0.175], 0.0], [[2.652, 0.359], 0.0], [[2.494, 0.553], 0.0], [[2.336, 0.746], 0.0], [[2.123, 0.877], 0.0], [[2.0, 1.0], 6.0], [[2.224, 1.11], 0.0], [[2.394, 1.294], 0.0], [[2.402, 1.544], 0.0], [[2.36, 1.79], 0.0], [[2.246, 2.013], 0.0], [[2.0, 2.0], 1.0], [[1.752, 1.969], 0.0], [[1.522, 1.871], 0.0], [[1.285, 1.792], 0.0], [[1.06, 1.683], 0.0], [[0.99, 1.443], 0.0], [[1.058, 1.203], 0.0], [[1.0, 1.0], 1.0], [[1.247, 1.04], 0.0], [[1.495, 1.071], 0.0], [[1.671, 0.894], 0.0], [[1.865, 0.736], 0.0], [[2.078, 0.606], 0.0], [[2.294, 0.48], 0.0], [[2.504, 0.344], 0.0], [[2.716, 0.212], 0.0], [[2.9, 0.043], 0.0], [[3.0, 0.0], 1]]]",64,0,0,0,0,14.132,0,0,14.75,19,59,0
basic_ca,2,"[[[[0.0, 0.0], 1], [[1.0, 2.0], 4.5], [[2.0, 1.0], 3], [[0.0, 0.0], 1]], [[[3.0, 0.0], 1], [[2.0, 1.0], 6], [[2.0, 2.0], 1], [[1.0, 1.0], 1], [[3.0, 0.0], 1]]]",62,0,0,0,0,11.951,0,0,12.25,19.5,7,0
,,,,,,,,,,,,,,
no_ca,3,"[[[[0.0, 0.0], 1], [[1.0, 1.0], 2], [[1.0, 2.0], 1], [[2.0, 1.0], 3], [[0.0, 0.0], 1]], [[[3.0, 0.0], 1], [[2.0, 1.0], 6], [[2.0, 2.0], 2], [[1.0, 1.0], 5], [[3.0, 0.0], 1]], [[[0.0, 4.0], 1], [[1.0, 3.0], 4], [[2.0, 3.0], 9], [[1.0, 2.0], 3], [[0.0, 4.0], 1]]]",5.71,1,0,0,1,18.193,0.25,0.014,18.75,41,12,0.083
pf_ca,3,"[[[[0.0, 0.0], 1.0], [[0.185, 0.168], 0.0], [[0.356, 0.351], 0.0], [[0.539, 0.521], 0.0], [[0.723, 0.69], 0.0], [[0.898, 0.869], 0.0], [[1.0, 1.0], 2.0], [[0.867, 1.212], 0.0], [[0.964, 1.442], 0.0], [[1.008, 1.688], 0.0], [[1.014, 1.938], 0.0], [[1.0, 2.0], 1.0], [[1.162, 1.81], 0.0], [[1.363, 1.66], 0.0], [[1.542, 1.486], 0.0], [[1.669, 1.271], 0.0], [[1.471, 1.424], 0.0], [[1.714, 1.48], 0.0], [[1.485, 1.38], 0.0], [[1.248, 1.301], 0.0], [[1.471, 1.189], 0.0], [[1.63, 0.996], 0.0], [[1.862, 1.09], 0.0], [[2.0, 1.0], 3.0], [[1.777, 0.887], 0.0], [[1.678, 0.657], 0.0], [[1.446, 0.566], 0.0], [[1.335, 0.342], 0.0], [[1.151, 0.173], 0.0], [[0.949, 0.026], 0.0], [[0.725, -0.085], 0.0], [[0.484, -0.018], 0.0], [[0.237, 0.021], 0.0], [[0.0, 0.0], 1]], [[[3.0, 0.0], 1.0], [[2.776, 0.111], 0.0], [[2.595, 0.283], 0.0], [[2.381, 0.413], 0.0], [[2.273, 0.639], 0.0], [[2.107, 0.826], 0.0], [[2.0, 1.0], 6.0], [[2.18, 1.173], 0.0], [[2.353, 1.354], 0.0], [[2.409, 1.597], 0.0], [[2.383, 1.846], 0.0], [[2.218, 2.034], 0.0], [[2.0, 2.0], 2.0], [[1.75, 2.002], 0.0], [[1.509, 1.936], 0.0], [[1.305, 1.791], 0.0], [[1.091, 1.661], 0.0], [[0.921, 1.478], 0.0], [[0.816, 1.251], 0.0], [[1.059, 1.193], 0.0], [[1.0, 1.0], 5.0], [[1.235, 0.916], 0.0], [[1.453, 0.792], 0.0], [[1.652, 0.641], 0.0], [[1.867, 0.513], 0.0], [[2.111, 0.46], 0.0], [[2.306, 0.303], 0.0], [[2.545, 0.23], 0.0], [[2.788, 0.173], 0.0], [[3.001, 0.042], 0.0], [[3.0, 0.0], 1]], [[[0.0, 4.0], 1.0], [[0.159, 3.807], 0.0], [[0.344, 3.639], 0.0], [[0.535, 3.478], 0.0], [[0.728, 3.319], 0.0], [[0.902, 3.139], 0.0], [[1.0, 3.0], 4.0], [[1.229, 3.099], 0.0], [[1.476, 3.056], 0.0], [[1.717, 2.991], 0.0], [[1.96, 2.932], 0.0], [[2.0, 3.0], 9.0], [[1.861, 2.792], 0.0], [[1.692, 2.608], 0.0], [[1.494, 2.455], 0.0], [[1.3, 2.298], 0.0], [[1.144, 2.102], 0.0], [[1.0, 2.0], 3.0], [[0.886, 2.222], 0.0], [[0.764, 2.441], 0.0], [[0.631, 2.652], 0.0], [[0.583, 2.898], 0.0], [[0.464, 3.117], 0.0], [[0.35, 3.34], 0.0], [[0.226, 3.557], 0.0], [[0.129, 3.788], 0.0], [[0.0, 4.0], 1]]]",5.71,0,0,0,0,21.225,0,0,22.25,41,89,0
