Strategy,n_drones,Plan,Sensing Mismatch %,Total Collisions,Cross Collisions,Parallel Collisions,Dest. Occupied Collisions,Total Flights Distance,Total Collision Distance,Risk of Collision,Total Duration of Flights,Total Hover Duration,Number of Flights,Average Collisions per Flight
basic_ca,3,"[[[[0.0, 0.0], 1], [[1.0, 1.0], 2], [[1.0, 2.0], 2.5], [[2.0, 1.0], 3], [[0.0, 0.0], 1]], [[[3.0, 0.0], 1], [[2.0, 1.0], 6], [[2.0, 2.0], 2], [[1.0, 1.0], 5], [[3.0, 0.0], 1]], [[[0.0, 4.0], 1], [[1.0, 3.0], 4], [[2.0, 3.0], 9], [[1.0, 2.0], 3], [[0.0, 4.0], 1]]]",10,0,0,0,0,18.193,0,0,18.75,42.5,12,0
,,,,,,,,,,,,,,
no_ca,4,"[[[[0.0, 0.0], 1], [[1.0, 1.0], 3], [[1.0, 2.0], 5], [[2.0, 1.0], 5], [[0.0, 0.0], 1]], [[[3.0, 0.0], 1], [[2.0, 1.0], 5], [[2.0, 2.0], 1], [[1.0, 1.0], 3], [[3.0, 0.0], 1]], [[[0.0, 4.0], 1], [[2.0, 3.0], 5], [[1.0, 2.0], 4], [[0.0, 4.0], 1]], [[[3.0, 4.0], 1], [[2.0, 3.0], 5], [[2.0, 2.0], 1], [[3.0, 4.0], 1]]]",5.13,6,2,0,4,22.666,2,0.088,23.25,45,14,0.429
pf_ca,4,"[[[[0.0, 0.0], 1.0], [[0.183, 0.17], 0.0], [[0.382, 0.322], 0.0], [[0.546, 0.511], 0.0], [[0.717, 0.692], 0.0], [[0.901, 0.862], 0.0], [[1.0, 1.0], 3.0], [[0.877, 1.218], 0.0], [[0.934, 1.462], 0.0], [[0.827, 1.688], 0.0], [[0.984, 1.882], 0.0], [[1.0, 2.0], 5.0], [[1.077, 1.762], 0.0], [[1.179, 1.534], 0.0], [[1.343, 1.345], 0.0], [[1.375, 1.097], 0.0], [[1.49, 0.875], 0.0], [[1.723, 0.785], 0.0], [[1.964, 0.851], 0.0], [[2.0, 1.0], 5.0], [[1.75, 0.994], 0.0], [[1.527, 0.881], 0.0], [[1.296, 0.785], 0.0], [[1.074, 0.671], 0.0], [[0.85, 0.559], 0.0], [[0.655, 0.403], 0.0], [[0.434, 0.286], 0.0], [[0.216, 0.163], 0.0], [[0.118, -0.067], 0.0], [[0.0, 0.0], 1]], [[[3.0, 0.0], 1.0], [[2.834, 0.187], 0.0], [[2.653, 0.359], 0.0], [[2.481, 0.541], 0.0], [[2.344, 0.75], 0.0], [[2.127, 0.874], 0.0], [[2.0, 1.0], 5.0], [[1.956, 1.246], 0.0], [[2.114, 1.44], 0.0], [[2.167, 1.684], 0.0], [[1.921, 1.637], 0.0], [[2.164, 1.698], 0.0], [[2.16, 1.448], 0.0], [[2.393, 1.358], 0.0], [[2.208, 1.526], 0.0], [[2.4, 1.366], 0.0], [[2.188, 1.497], 0.0], [[2.405, 1.374], 0.0], [[2.182, 1.486], 0.0], [[2.118, 1.728], 0.0], [[2.148, 1.976], 0.0], [[2.0, 2.0], 1.0], [[1.902, 1.77], 0.0], [[1.68, 1.654], 0.0], [[1.439, 1.59], 0.0], [[1.196, 1.53], 0.0], [[0.999, 1.376], 0.0], [[0.88, 1.156], 0.0], [[1.0, 1.0], 3.0], [[1.035, 0.752], 0.0], [[1.19, 0.557], 0.0], [[1.343, 0.359], 0.0], [[1.538, 0.203], 0.0], [[1.721, 0.032], 0.0], [[1.924, -0.115], 0.0], [[2.157, -0.204], 0.0], [[2.407, -0.209], 0.0], [[2.626, -0.088], 0.0], [[2.839, 0.043], 0.0], [[3.0, 0.0], 1]], [[[0.0, 4.0], 1.0], [[0.217, 3.876], 0.0], [[0.451, 3.787], 0.0], [[0.659, 3.649], 0.0], [[0.881, 3.534], 0.0], [[1.105, 3.423], 0.0], [[1.319, 3.293], 0.0], [[1.568, 3.271], 0.0], [[1.394, 3.451], 0.0], [[1.603, 3.313], 0.0], [[1.445, 3.119], 0.0], [[1.373, 2.88], 0.0], [[1.392, 2.63], 0.0], [[1.487, 2.862], 0.0], [[1.239, 2.889], 0.0], [[1.487, 2.922], 0.0], [[1.258, 2.82], 0.0], [[1.5, 2.882], 0.0], [[1.254, 2.923], 0.0], [[1.472, 2.8], 0.0], [[1.509, 3.048], 0.0], [[1.292, 3.171], 0.0], [[1.491, 3.019], 0.0], [[1.429, 3.262], 0.0], [[1.468, 3.509], 0.0], [[1.652, 3.34], 0.0], [[1.633, 3.589], 0.0], [[1.724, 3.356], 0.0], [[1.839, 3.134], 0.0], [[2.0, 3.0], 5.0], [[1.815, 2.832], 0.0], [[1.633, 2.661], 0.0], [[1.461, 2.479], 0.0], [[1.305, 2.284], 0.0], [[1.185, 2.065], 0.0], [[1.0, 2.0], 4.0], [[0.898, 2.228], 0.0], [[0.776, 2.447], 0.0], [[0.652, 2.663], 0.0], [[0.586, 2.905], 0.0], [[0.448, 3.113], 0.0], [[0.324, 3.33], 0.0], [[0.217, 3.556], 0.0], [[0.162, 3.8], 0.0], [[-0.064, 3.694], 0.0], [[0.047, 3.918], 0.0], [[0.0, 4.0], 1]], [[[3.0, 4.0], 1.0], [[2.825, 3.822], 0.0], [[2.719, 3.595], 0.0], [[2.539, 3.422], 0.0], [[2.317, 3.308], 0.0], [[2.156, 3.116], 0.0], [[2.0, 3.0], 5.0], [[2.13, 2.787], 0.0], [[2.224, 2.555], 0.0], [[2.331, 2.329], 0.0], [[2.425, 2.097], 0.0], [[2.175, 2.091], 0.0], [[2.0, 2.0], 1.0], [[2.16, 2.192], 0.0], [[2.305, 2.395], 0.0], [[2.51, 2.539], 0.0], [[2.715, 2.682], 0.0], [[2.895, 2.855], 0.0], [[3.066, 3.038], 0.0], [[3.014, 3.283], 0.0], [[3.004, 3.532], 0.0], [[2.973, 3.78], 0.0], [[3.0, 4.0], 1]]]",5.13,0,0,0,0,32.886,0,0,34,45,136,0
basic_ca,4,"[[[[0.0, 0.0], 1], [[1.0, 1.0], 3], [[1.0, 2.0], 5], [[2.0, 1.0], 5], [[0.0, 0.0], 1]], [[[3.0, 0.0], 1], [[2.0, 1.0], 6.5], [[2.0, 2.0], 1], [[1.0, 1.0], 3], [[3.0, 0.0], 1]], [[[0.0, 4.0], 5.75], [[2.0, 3.0], 5], [[1.0, 2.0], 4], [[0.0, 4.0], 1]], [[[3.0, 4.0], 1], [[2.0, 3.0], 5], [[2.0, 2.0], 1], [[3.0, 4.0], 1]]]",8.97,0,0,0,0,22.666,0,0,23.25,51.25,14,0
,,,,,,,,,,,,,,
no_ca,5,"[[[[0.0, 0.0], 1], [[1.0, 2.0], 3], [[2.0, 1.0], 3], [[0.0, 0.0], 1]], [[[3.0, 0.0], 1], [[2.0, 1.0], 4], [[2.0, 2.0], 2], [[1.0, 1.0], 1], [[3.0, 0.0], 1]], [[[0.0, 4.0], 1], [[1.0, 3.0], 2], [[2.0, 3.0], 2], [[1.0, 2.0], 2], [[0.0, 4.0], 1]], [[[3.0, 4.0], 1], [[2.0, 3.0], 6], [[1.0, 3.0], 5], [[2.0, 2.0], 2], [[3.0, 4.0], 1]], [[[1.5, 0.0], 1], [[1.0, 2.0], 3], [[2.0, 2.0], 1], [[2.0, 1.0], 2], [[1.5, 0.0], 1]]]",14.29,8,2,1,5,29.259,3.75,0.128,30.25,48,19,0.421
pf_ca,5,"[[[[0.0, 0.0], 1.0], [[0.117, 0.221], 0.0], [[0.289, 0.402], 0.0], [[0.373, 0.638], 0.0], [[0.514, 0.844], 0.0], [[0.407, 1.07], 0.0], [[0.548, 1.276], 0.0], [[0.521, 1.525], 0.0], [[0.411, 1.749], 0.0], [[0.582, 1.931], 0.0], [[0.394, 1.766], 0.0], [[0.443, 2.011], 0.0], [[0.29, 1.814], 0.0], [[0.238, 1.569], 0.0], [[0.478, 1.639], 0.0], [[0.669, 1.478], 0.0], [[0.894, 1.368], 0.0], [[0.668, 1.476], 0.0], [[0.731, 1.718], 0.0], [[0.61, 1.499], 0.0], [[0.37, 1.568], 0.0], [[0.603, 1.657], 0.0], [[0.405, 1.505], 0.0], [[0.612, 1.645], 0.0], [[0.758, 1.848], 0.0], [[1.007, 1.867], 0.0], [[1.0, 2.0], 3.0], [[1.002, 1.75], 0.0], [[1.079, 1.512], 0.0], [[1.196, 1.291], 0.0], [[1.093, 1.063], 0.0], [[1.296, 0.916], 0.0], [[1.294, 0.666], 0.0], [[1.438, 0.871], 0.0], [[1.285, 1.069], 0.0], [[1.492, 0.93], 0.0], [[1.713, 0.811], 0.0], [[1.899, 0.978], 0.0], [[2.0, 1.0], 3.0], [[1.826, 0.82], 0.0], [[1.631, 0.976], 0.0], [[1.643, 0.726], 0.0], [[1.641, 0.976], 0.0], [[1.451, 0.814], 0.0], [[1.37, 1.051], 0.0], [[1.12, 1.058], 0.0], [[0.885, 0.972], 0.0], [[0.654, 0.876], 0.0], [[0.503, 0.677], 0.0], [[0.362, 0.47], 0.0], [[0.213, 0.269], 0.0], [[-0.036, 0.251], 0.0], [[-0.207, 0.434], 0.0], [[-0.034, 0.253], 0.0], [[0.207, 0.32], 0.0], [[0.066, 0.114], 0.0], [[0.0, 0.0], 1]], [[[3.0, 0.0], 1.0], [[2.823, 0.177], 0.0], [[2.664, 0.37], 0.0], [[2.502, 0.56], 0.0], [[2.336, 0.747], 0.0], [[2.139, 0.9], 0.0], [[2.0, 1.0], 4.0], [[1.968, 1.248], 0.0], [[2.12, 1.446], 0.0], [[2.139, 1.695], 0.0], [[2.35, 1.561], 0.0], [[2.593, 1.503], 0.0], [[2.399, 1.66], 0.0], [[2.156, 1.721], 0.0], [[2.339, 1.55], 0.0], [[2.554, 1.424], 0.0], [[2.539, 1.673], 0.0], [[2.492, 1.919], 0.0], [[2.707, 2.046], 0.0], [[2.458, 2.024], 0.0], [[2.215, 2.083], 0.0], [[2.0, 2.0], 2.0], [[1.911, 1.766], 0.0], [[1.708, 1.912], 0.0], [[1.519, 1.747], 0.0], [[1.307, 1.615], 0.0], [[1.122, 1.447], 0.0], [[0.952, 1.264], 0.0], [[0.872, 1.028], 0.0], [[1.0, 1.0], 1.0], [[1.055, 0.756], 0.0], [[1.151, 0.525], 0.0], [[1.028, 0.743], 0.0], [[1.074, 0.497], 0.0], [[0.987, 0.731], 0.0], [[0.738, 0.752], 0.0], [[0.843, 0.525], 0.0], [[0.593, 0.519], 0.0], [[0.802, 0.382], 0.0], [[0.613, 0.217], 0.0], [[0.831, 0.094], 0.0], [[0.829, -0.156], 0.0], [[0.88, -0.4], 0.0], [[1.021, -0.607], 0.0], [[1.182, -0.798], 0.0], [[1.414, -0.706], 0.0], [[1.646, -0.8], 0.0], [[1.863, -0.675], 0.0], [[2.11, -0.712], 0.0], [[2.297, -0.546], 0.0], [[2.47, -0.366], 0.0], [[2.64, -0.183], 0.0], [[2.835, -0.027], 0.0], [[3.0, 0.0], 1]], [[[0.0, 4.0], 1.0], [[0.167, 3.814], 0.0], [[0.322, 3.618], 0.0], [[0.494, 3.437], 0.0], [[0.655, 3.245], 0.0], [[0.862, 3.106], 0.0], [[1.0, 3.0], 2.0], [[1.249, 3.019], 0.0], [[1.434, 2.851], 0.0], [[1.312, 2.633], 0.0], [[1.444, 2.845], 0.0], [[1.693, 2.817], 0.0], [[1.462, 2.721], 0.0], [[1.617, 2.917], 0.0], [[1.377, 2.845], 0.0], [[1.276, 3.074], 0.0], [[1.417, 3.28], 0.0], [[1.516, 3.51], 0.0], [[1.566, 3.265], 0.0], [[1.599, 3.512], 0.0], [[1.514, 3.277], 0.0], [[1.49, 3.526], 0.0], [[1.726, 3.441], 0.0], [[1.505, 3.324], 0.0], [[1.704, 3.173], 0.0], [[1.602, 3.401], 0.0], [[1.846, 3.347], 0.0], [[2.095, 3.373], 0.0], [[2.206, 3.597], 0.0], [[2.114, 3.364], 0.0], [[2.015, 3.135], 0.0], [[2.0, 3.0], 2.0], [[1.904, 2.769], 0.0], [[1.953, 2.524], 0.0], [[1.786, 2.71], 0.0], [[1.799, 2.46], 0.0], [[1.694, 2.233], 0.0], [[1.524, 2.05], 0.0], [[1.338, 2.216], 0.0], [[1.097, 2.151], 0.0], [[1.0, 2.0], 2.0], [[0.907, 2.232], 0.0], [[0.766, 2.438], 0.0], [[0.659, 2.664], 0.0], [[0.542, 2.885], 0.0], [[0.417, 3.102], 0.0], [[0.357, 3.345], 0.0], [[0.246, 3.568], 0.0], [[0.171, 3.807], 0.0], [[0.283, 4.03], 0.0], [[0.036, 4.063], 0.0], [[0.0, 4.0], 1]], [[[3.0, 4.0], 1.0], [[2.83, 3.817], 0.0], [[2.652, 3.641], 0.0], [[2.485, 3.455], 0.0], [[2.363, 3.237], 0.0], [[2.162, 3.088], 0.0], [[2.0, 3.0], 6.0], [[2.141, 2.794], 0.0], [[2.015, 3.01], 0.0], [[1.966, 2.765], 0.0], [[1.721, 2.713], 0.0], [[1.48, 2.779], 0.0], [[1.282, 2.932], 0.0], [[1.077, 3.076], 0.0], [[1.0, 3.0], 5.0], [[1.25, 3.013], 0.0], [[1.495, 2.963], 0.0], [[1.687, 2.804], 0.0], [[1.909, 2.688], 0.0], [[2.072, 2.499], 0.0], [[2.205, 2.287], 0.0], [[2.065, 2.08], 0.0], [[2.0, 2.0], 2.0], [[2.118, 2.221], 0.0], [[2.228, 2.445], 0.0], [[2.327, 2.675], 0.0], [[2.427, 2.904], 0.0], [[2.515, 3.138], 0.0], [[2.667, 3.336], 0.0], [[2.817, 3.536], 0.0], [[2.902, 3.771], 0.0], [[3.0, 4.0], 1]], [[[1.5, 0.0], 1.0], [[1.44, 0.243], 0.0], [[1.408, 0.491], 0.0], [[1.349, 0.734], 0.0], [[1.285, 0.975], 0.0], [[1.265, 1.224], 0.0], [[1.218, 1.47], 0.0], [[1.187, 1.718], 0.0], [[1.092, 1.949], 0.0], [[1.0, 2.0], 3.0], [[1.25, 1.988], 0.0], [[1.49, 2.057], 0.0], [[1.708, 2.178], 0.0], [[1.958, 2.158], 0.0], [[2.0, 2.0], 1.0], [[2.012, 1.75], 0.0], [[1.877, 1.539], 0.0], [[1.899, 1.29], 0.0], [[1.983, 1.055], 0.0], [[2.0, 1.0], 2.0], [[2.034, 0.752], 0.0], [[2.096, 0.51], 0.0], [[2.038, 0.267], 0.0], [[1.862, 0.09], 0.0], [[1.662, -0.061], 0.0], [[1.5, 0.0], 1]]]",14.29,0,0,0,0,52.024,0,0,54.25,48,216,0
basic_ca,5,"[[[[0.0, 0.0], 1], [[0.5590169943917178, 1.9565594803039308], 3.0], [[1.0, 2.0], 27.5], [[2.0, 1.0], 3], [[0.0, 0.0], 1]], [[[3.0, 0.0], 1], [[2.0, 1.0], 4], [[2.0, 2.0], 26.5], [[1.0, 1.0], 1], [[3.0, 0.0], 1]], [[[0.0, 4.0], 1], [[1.0, 3.0], 2], [[2.0, 3.0], 2], [[1.0, 2.0], 2], [[0.0, 4.0], 1]], [[[3.0, 4.0], 1], [[2.0, 3.0], 6], [[1.0, 3.0], 5], [[2.0, 2.0], 2], [[3.0, 4.0], 1]], [[[1.5, 0.0], 1], [[1.0, 2.0], 3], [[2.0, 2.0], 1], [[2.0, 1.0], 2], [[1.5, 0.0], 1]]]",154.29,6,2,0,4,29.501,2,0.068,30.75,100,20,0.3
,,,,,,,,,,,,,,
no_ca,6,"[[[[0.0, 0.0], 1], [[1.0, 1.0], 3], [[1.0, 2.0], 2], [[2.0, 1.0], 2], [[0.0, 0.0], 1]], [[[3.0, 0.0], 1], [[2.0, 1.0], 2], [[2.0, 2.0], 2], [[1.0, 1.0], 2], [[3.0, 0.0], 1]], [[[0.0, 4.0], 1], [[1.0, 3.0], 1], [[2.0, 3.0], 4], [[1.0, 2.0], 2], [[0.0, 4.0], 1]], [[[3.0, 4.0], 1], [[2.0, 3.0], 4], [[1.0, 3.0], 1], [[2.0, 2.0], 2], [[3.0, 4.0], 1]], [[[1.5, 0.0], 1], [[1.0, 1.0], 2], [[1.0, 2.0], 1], [[2.0, 2.0], 2], [[2.0, 1.0], 1], [[1.5, 0.0], 1]], [[[0.0, 2.0], 1], [[1.0, 2.0], 2], [[1.0, 3.0], 1], [[1.0, 1.0], 3], [[0.0, 2.0], 1]]]",24.24,11,6,0,5,34.908,4.75,0.136,36,51,25,0.44
