Strategy,n_drones,Plan,Sensing Mismatch %,Total Collisions,Cross Collisions,Parallel Collisions,Cell Occupied Collisions,Total Flights Distance,Total Collision Distance,Risk of Collision,Total Duration of Flights,Total Hover Duration,Number of Flights,Average Collisions per Flight
basic_ca,16,"[[[[0.0, 0.0], 1], [[4.0, 1.0], 1], [[6.0, 2.0], 1], [[5.0, 5.0], 1], [[6.0, 5.0], 5.5], [[1.0, 2.0], 1], [[0.0, 0.0], 1]], [[[11.0, 0.0], 2]], [[[0.0, 11.0], 2.0], [[5.0, 5.0], 1], [[3.4448015427779035, 7.87827774174859], 0], [[3.0, 10.0], 2.5], [[7.0, 10.0], 1], [[0.0, 11.0], 1]], [[[11.0, 11.0], 2.25], [[7.388481756321299, 5.885309298151899], 1.5], [[7.0, 6.0], 1], [[9.0, 6.0], 1], [[8.0, 7.0], 2.0], [[6.0, 5.0], 1], [[4.0, 10.0], 1], [[7.0, 10.0], 1], [[11.0, 11.0], 1]], [[[5.5, 0.0], 2]], [[[0.0, 5.5], 4.75], [[3.0, 10.0], 1.5], [[4.740893795400576, 6.657483912809353], 0], [[5.265843300137119, 5.727401649002148], 0], [[5.446426230825879, 5.129058265076489], 0], [[5.0, 5.0], 1], [[1.0, 2.0], 1], [[0.0, 5.5], 1]], [[[11.0, 5.5], 2]], [[[5.5, 11.0], 1], [[3.0, 10.0], 1], [[7.0, 10.0], 1], [[7.0, 6.0], 5.0], [[5.5, 11.0], 1]], [[[8.25, 0.0], 3.0], [[7.0, 6.0], 1], [[6.5149287499169395, 2.513550390105312], 1.0], [[6.0, 2.0], 3.5], [[4.0, 1.0], 1], [[5.0, 5.0], 1], [[6.0, 5.0], 1], [[8.25, 0.0], 1]], [[[0.0, 8.25], 1], [[1.0, 9.0], 1], [[2.0, 10.0], 1], [[3.0, 10.0], 1], [[4.740893795400576, 6.657483912809353], 0.75], [[5.0, 5.0], 3.0], [[4.0, 10.0], 1], [[0.0, 8.25], 1]], [[[11.0, 8.25], 1], [[9.0, 6.0], 1.5], [[7.0, 6.0], 1], [[8.0, 7.0], 1], [[6.695560465192402, 9.72746448189918], 0], [[7.0, 10.0], 6.25], [[6.0, 5.0], 1], [[7.0, 4.0], 1], [[11.0, 8.25], 1]], [[[8.25, 11.0], 1], [[4.000160199701194, 9.428341108324156], 0], [[3.8996434915560516, 9.78961855209478], 1.5], [[3.0, 10.0], 1], [[4.0, 10.0], 4.75], [[6.5, 10.374999999985], 2.75], [[7.0, 10.0], 1], [[9.0, 6.0], 1], [[7.0, 6.0], 1], [[8.0, 7.0], 1], [[8.25, 11.0], 1]], [[[2.75, 0.0], 3.0], [[5.0, 5.0], 1], [[6.146325651796808, 2.7468771671252865], 0], [[6.4181987734042325, 2.184107226837797], 0.75], [[6.0, 2.0], 1], [[4.0, 1.0], 3.0], [[6.0, 5.0], 1], [[1.0, 2.0], 1], [[2.75, 0.0], 1]], [[[0.0, 2.75], 1], [[5.0, 5.0], 1], [[6.146325651796808, 2.7468771671252865], 0], [[6.0, 2.0], 1], [[4.0, 1.0], 1], [[1.0, 2.0], 1], [[0.0, 2.75], 1]], [[[11.0, 2.75], 1], [[7.0, 6.0], 1], [[6.393660937400072, 2.028479140032321], 0.75], [[6.0, 2.0], 5.0], [[6.0, 5.0], 1], [[11.0, 2.75], 1]], [[[2.75, 11.0], 1], [[3.0, 10.0], 1], [[1.0, 9.0], 1], [[2.0, 10.0], 3.5], [[7.0, 10.0], 1], [[4.25, 9.625000000013637], 0], [[4.0, 10.0], 1], [[2.75, 11.0], 1]]]",82.45,5,1,0,4,262.358,1.5,0.006,271,144,88,0.057
,,,,,,,,,,,,,,
no_ca,1,"[[[[0.0, 0.0], 2]]]",100,0,0,0,0,0,0,0,0,2,0,0
pf_ca,1,"[[[[0.0, 0.0], 2]]]",100,0,0,0,0,0,0,0,0,2,0,0
basic_ca,1,"[[[[0.0, 0.0], 2]]]",100,0,0,0,0,0,0,0,0,2,0,0
,,,,,,,,,,,,,,
no_ca,2,"[[[[0.0, 0.0], 2]], [[[11.0, 0.0], 1], [[8.0, 5.0], 1], [[4.0, 2.0], 1], [[11.0, 0.0], 1]]]",99.62,0,0,0,0,18.111,0,0,18.5,6,3,0
pf_ca,2,"[[[[0.0, 0.0], 2]], [[[11.0, 0.0], 1.0], [[10.877, 0.217], 0.0], [[10.743, 0.429], 0.0], [[10.665, 0.666], 0.0], [[10.524, 0.873], 0.0], [[10.394, 1.086], 0.0], [[10.297, 1.317], 0.0], [[10.181, 1.538], 0.0], [[10.022, 1.732], 0.0], [[9.894, 1.946], 0.0], [[9.764, 2.16], 0.0], [[9.671, 2.392], 0.0], [[9.565, 2.618], 0.0], [[9.44, 2.835], 0.0], [[9.274, 3.022], 0.0], [[9.146, 3.237], 0.0], [[9.018, 3.451], 0.0], [[8.857, 3.642], 0.0], [[8.751, 3.869], 0.0], [[8.604, 4.071], 0.0], [[8.444, 4.263], 0.0], [[8.32, 4.48], 0.0], [[8.149, 4.663], 0.0], [[8.069, 4.9], 0.0], [[8.0, 5.0], 1.0], [[7.812, 4.835], 0.0], [[7.604, 4.697], 0.0], [[7.42, 4.527], 0.0], [[7.222, 4.375], 0.0], [[7.036, 4.208], 0.0], [[6.831, 4.064], 0.0], [[6.635, 3.909], 0.0], [[6.43, 3.767], 0.0], [[6.222, 3.628], 0.0], [[6.049, 3.448], 0.0], [[5.834, 3.32], 0.0], [[5.625, 3.182], 0.0], [[5.427, 3.03], 0.0], [[5.252, 2.851], 0.0], [[5.028, 2.74], 0.0], [[4.813, 2.613], 0.0], [[4.632, 2.441], 0.0], [[4.413, 2.32], 0.0], [[4.205, 2.182], 0.0], [[4.048, 1.987], 0.0], [[4.0, 2.0], 1.0], [[4.231, 1.905], 0.0], [[4.473, 1.842], 0.0], [[4.72, 1.802], 0.0], [[4.957, 1.722], 0.0], [[5.193, 1.64], 0.0], [[5.433, 1.569], 0.0], [[5.671, 1.495], 0.0], [[5.911, 1.422], 0.0], [[6.129, 1.3], 0.0], [[6.363, 1.212], 0.0], [[6.608, 1.162], 0.0], [[6.847, 1.089], 0.0], [[7.087, 1.02], 0.0], [[7.329, 0.956], 0.0], [[7.577, 0.928], 0.0], [[7.813, 0.844], 0.0], [[8.041, 0.742], 0.0], [[8.281, 0.674], 0.0], [[8.531, 0.656], 0.0], [[8.776, 0.608], 0.0], [[9.016, 0.538], 0.0], [[9.249, 0.447], 0.0], [[9.494, 0.399], 0.0], [[9.742, 0.363], 0.0], [[9.98, 0.286], 0.0], [[10.222, 0.226], 0.0], [[10.468, 0.181], 0.0], [[10.718, 0.165], 0.0], [[10.476, 0.101], 0.0], [[10.722, 0.058], 0.0], [[10.501, 0.174], 0.0], [[10.745, 0.12], 0.0], [[10.994, 0.099], 0.0], [[11.0, 0.0], 1]]]",99.62,0,0,0,0,19.27,0,0,19.75,6,79,0
basic_ca,2,"[[[[0.0, 0.0], 2]], [[[11.0, 0.0], 1], [[8.0, 5.0], 1], [[4.0, 2.0], 1], [[11.0, 0.0], 1]]]",99.62,0,0,0,0,18.111,0,0,18.5,6,3,0
,,,,,,,,,,,,,,
no_ca,3,"[[[[0.0, 0.0], 2]], [[[11.0, 0.0], 2]], [[[0.0, 11.0], 2]]]",100,0,0,0,0,0,0,0,0,6,0,0
pf_ca,3,"[[[[0.0, 0.0], 2]], [[[11.0, 0.0], 2]], [[[0.0, 11.0], 2]]]",100,0,0,0,0,0,0,0,0,6,0,0
basic_ca,3,"[[[[0.0, 0.0], 2]], [[[11.0, 0.0], 2]], [[[0.0, 11.0], 2]]]",100,0,0,0,0,0,0,0,0,6,0,0
,,,,,,,,,,,,,,
no_ca,4,"[[[[0.0, 0.0], 2]], [[[11.0, 0.0], 2]], [[[0.0, 11.0], 2]], [[[11.0, 11.0], 2]]]",100,0,0,0,0,0,0,0,0,8,0,0
pf_ca,4,"[[[[0.0, 0.0], 2]], [[[11.0, 0.0], 2]], [[[0.0, 11.0], 2]], [[[11.0, 11.0], 2]]]",100,0,0,0,0,0,0,0,0,8,0,0
basic_ca,4,"[[[[0.0, 0.0], 2]], [[[11.0, 0.0], 2]], [[[0.0, 11.0], 2]], [[[11.0, 11.0], 2]]]",100,0,0,0,0,0,0,0,0,8,0,0
,,,,,,,,,,,,,,
no_ca,5,"[[[[0.0, 0.0], 2]], [[[11.0, 0.0], 1], [[5.0, 4.0], 1], [[6.0, 2.0], 1], [[6.0, 1.0], 1], [[11.0, 0.0], 1]], [[[0.0, 11.0], 2]], [[[11.0, 11.0], 2]], [[[5.5, 0.0], 2]]]",99.45,0,0,0,0,15.546,0,0,15.75,13,4,0
pf_ca,5,"[[[[0.0, 0.0], 2]], [[[11.0, 0.0], 1.0], [[10.8, 0.15], 0.0], [[10.584, 0.276], 0.0], [[10.395, 0.44], 0.0], [[10.189, 0.581], 0.0], [[9.982, 0.721], 0.0], [[9.801, 0.893], 0.0], [[9.589, 1.026], 0.0], [[9.385, 1.17], 0.0], [[9.161, 1.283], 0.0], [[8.943, 1.404], 0.0], [[8.731, 1.537], 0.0], [[8.523, 1.676], 0.0], [[8.307, 1.801], 0.0], [[8.082, 1.911], 0.0], [[7.888, 2.069], 0.0], [[7.671, 2.193], 0.0], [[7.459, 2.325], 0.0], [[7.243, 2.452], 0.0], [[7.036, 2.592], 0.0], [[6.851, 2.759], 0.0], [[6.632, 2.879], 0.0], [[6.429, 3.026], 0.0], [[6.238, 3.187], 0.0], [[6.012, 3.294], 0.0], [[5.824, 3.459], 0.0], [[5.617, 3.599], 0.0], [[5.396, 3.717], 0.0], [[5.209, 3.883], 0.0], [[5.0, 4.0], 1.0], [[5.129, 3.786], 0.0], [[5.273, 3.582], 0.0], [[5.409, 3.372], 0.0], [[5.495, 3.137], 0.0], [[5.622, 2.921], 0.0], [[5.664, 2.675], 0.0], [[5.798, 2.464], 0.0], [[5.831, 2.216], 0.0], [[5.969, 2.008], 0.0], [[6.0, 2.0], 1.0], [[6.004, 1.75], 0.0], [[5.983, 1.501], 0.0], [[5.977, 1.251], 0.0], [[5.945, 1.499], 0.0], [[5.982, 1.252], 0.0], [[5.734, 1.223], 0.0], [[5.98, 1.178], 0.0], [[6.0, 1.0], 1.0], [[6.237, 0.92], 0.0], [[6.47, 0.829], 0.0], [[6.718, 0.799], 0.0], [[6.962, 0.744], 0.0], [[7.203, 0.677], 0.0], [[7.452, 0.659], 0.0], [[7.699, 0.62], 0.0], [[7.948, 0.596], 0.0], [[8.191, 0.538], 0.0], [[8.437, 0.494], 0.0], [[8.686, 0.469], 0.0], [[8.934, 0.436], 0.0], [[9.179, 0.39], 0.0], [[9.422, 0.33], 0.0], [[9.668, 0.282], 0.0], [[9.901, 0.194], 0.0], [[10.15, 0.215], 0.0], [[10.396, 0.166], 0.0], [[10.646, 0.168], 0.0], [[10.895, 0.161], 0.0], [[11.0, 0.0], 1]], [[[0.0, 11.0], 2]], [[[11.0, 11.0], 2]], [[[5.5, 0.0], 2]]]",99.45,0,0,0,0,16.642,0,0,17,13,68,0
basic_ca,5,"[[[[0.0, 0.0], 2]], [[[11.0, 0.0], 1], [[5.0, 4.0], 1], [[6.0, 2.0], 1], [[6.0, 1.0], 1], [[11.0, 0.0], 1]], [[[0.0, 11.0], 2]], [[[11.0, 11.0], 2]], [[[5.5, 0.0], 2]]]",99.45,0,0,0,0,15.546,0,0,15.75,13,4,0
,,,,,,,,,,,,,,
no_ca,6,"[[[[0.0, 0.0], 1], [[6.0, 2.0], 1], [[5.0, 5.0], 1], [[1.0, 6.0], 1], [[3.0, 5.0], 1], [[0.0, 0.0], 1]], [[[11.0, 0.0], 2]], [[[0.0, 11.0], 2]], [[[11.0, 11.0], 2]], [[[5.5, 0.0], 2]], [[[0.0, 5.5], 2]]]",99.26,0,0,0,0,21.677,0,0,22.25,16,5,0
pf_ca,6,"[[[[0.0, 0.0], 1.0], [[0.219, 0.12], 0.0], [[0.439, 0.239], 0.0], [[0.679, 0.309], 0.0], [[0.916, 0.389], 0.0], [[1.152, 0.472], 0.0], [[1.381, 0.572], 0.0], [[1.614, 0.663], 0.0], [[1.85, 0.745], 0.0], [[2.084, 0.834], 0.0], [[2.321, 0.912], 0.0], [[2.566, 0.961], 0.0], [[2.8, 1.051], 0.0], [[3.018, 1.172], 0.0], [[3.267, 1.194], 0.0], [[3.494, 1.3], 0.0], [[3.735, 1.366], 0.0], [[3.961, 1.473], 0.0], [[4.207, 1.515], 0.0], [[4.444, 1.597], 0.0], [[4.683, 1.67], 0.0], [[4.923, 1.74], 0.0], [[5.171, 1.772], 0.0], [[5.417, 1.812], 0.0], [[5.645, 1.916], 0.0], [[5.845, 2.066], 0.0], [[6.0, 2.0], 1.0], [[5.956, 2.246], 0.0], [[5.873, 2.482], 0.0], [[5.774, 2.711], 0.0], [[5.666, 2.937], 0.0], [[5.639, 3.185], 0.0], [[5.562, 3.423], 0.0], [[5.491, 3.663], 0.0], [[5.395, 3.894], 0.0], [[5.335, 4.136], 0.0], [[5.224, 4.361], 0.0], [[5.12, 4.588], 0.0], [[5.073, 4.834], 0.0], [[5.0, 5.0], 1.0], [[4.756, 5.053], 0.0], [[4.524, 5.148], 0.0], [[4.293, 5.244], 0.0], [[4.059, 5.331], 0.0], [[3.818, 5.395], 0.0], [[3.584, 5.485], 0.0], [[3.343, 5.55], 0.0], [[3.098, 5.602], 0.0], [[2.849, 5.622], 0.0], [[2.616, 5.712], 0.0], [[2.366, 5.722], 0.0], [[2.132, 5.811], 0.0], [[1.886, 5.856], 0.0], [[1.644, 5.918], 0.0], [[1.402, 5.979], 0.0], [[1.152, 5.988], 0.0], [[1.0, 6.0], 1.0], [[1.223, 5.887], 0.0], [[1.443, 5.768], 0.0], [[1.659, 5.642], 0.0], [[1.892, 5.551], 0.0], [[2.11, 5.429], 0.0], [[2.339, 5.328], 0.0], [[2.575, 5.246], 0.0], [[2.802, 5.143], 0.0], [[3.0, 5.0], 1.0], [[2.899, 4.771], 0.0], [[2.754, 4.567], 0.0], [[2.63, 4.35], 0.0], [[2.496, 4.14], 0.0], [[2.343, 3.942], 0.0], [[2.255, 3.708], 0.0], [[2.163, 3.475], 0.0], [[2.044, 3.255], 0.0], [[1.897, 3.053], 0.0], [[1.79, 2.827], 0.0], [[1.656, 2.616], 0.0], [[1.521, 2.406], 0.0], [[1.41, 2.182], 0.0], [[1.269, 1.976], 0.0], [[1.108, 1.784], 0.0], [[0.943, 1.596], 0.0], [[0.805, 1.388], 0.0], [[0.605, 1.238], 0.0], [[0.488, 1.017], 0.0], [[0.422, 0.776], 0.0], [[0.306, 0.554], 0.0], [[0.186, 0.335], 0.0], [[0.116, 0.095], 0.0], [[0.0, 0.0], 1]], [[[11.0, 0.0], 2]], [[[0.0, 11.0], 2]], [[[11.0, 11.0], 2]], [[[5.5, 0.0], 2]], [[[0.0, 5.5], 2]]]",99.26,0,0,0,0,21.897,0,0,22.25,16,89,0
basic_ca,6,"[[[[0.0, 0.0], 1], [[6.0, 2.0], 1], [[5.0, 5.0], 1], [[1.0, 6.0], 1], [[3.0, 5.0], 1], [[0.0, 0.0], 1]], [[[11.0, 0.0], 2]], [[[0.0, 11.0], 2]], [[[11.0, 11.0], 2]], [[[5.5, 0.0], 2]], [[[0.0, 5.5], 2]]]",99.26,0,0,0,0,21.677,0,0,22.25,16,5,0
,,,,,,,,,,,,,,
no_ca,8,"[[[[0.0, 0.0], 1], [[5.0, 2.0], 1], [[0.0, 0.0], 1]], [[[11.0, 0.0], 1], [[5.0, 2.0], 1], [[11.0, 0.0], 1]], [[[0.0, 11.0], 2]], [[[11.0, 11.0], 1], [[8.0, 9.0], 1], [[11.0, 11.0], 1]], [[[5.5, 0.0], 2]], [[[0.0, 5.5], 2]], [[[11.0, 5.5], 2]], [[[5.5, 11.0], 2]]]",99.41,1,0,0,1,30.631,0.25,0.008,31.5,19,6,0.167
pf_ca,8,"[[[[0.0, 0.0], 1.0], [[0.233, 0.091], 0.0], [[0.468, 0.177], 0.0], [[0.678, 0.312], 0.0], [[0.915, 0.393], 0.0], [[1.15, 0.477], 0.0], [[1.366, 0.603], 0.0], [[1.591, 0.712], 0.0], [[1.83, 0.787], 0.0], [[2.058, 0.89], 0.0], [[2.287, 0.989], 0.0], [[2.527, 1.059], 0.0], [[2.761, 1.146], 0.0], [[3.0, 1.221], 0.0], [[3.235, 1.306], 0.0], [[3.456, 1.422], 0.0], [[3.7, 1.478], 0.0], [[3.937, 1.557], 0.0], [[4.164, 1.663], 0.0], [[4.399, 1.748], 0.0], [[4.626, 1.852], 0.0], [[4.834, 1.991], 0.0], [[5.0, 2.0], 1.0], [[4.809, 1.839], 0.0], [[4.599, 1.703], 0.0], [[4.381, 1.581], 0.0], [[4.153, 1.478], 0.0], [[3.93, 1.364], 0.0], [[3.709, 1.248], 0.0], [[3.474, 1.162], 0.0], [[3.233, 1.098], 0.0], [[2.994, 1.023], 0.0], [[2.756, 0.946], 0.0], [[2.516, 0.875], 0.0], [[2.279, 0.798], 0.0], [[2.031, 0.766], 0.0], [[1.792, 0.693], 0.0], [[1.571, 0.575], 0.0], [[1.341, 0.478], 0.0], [[1.107, 0.389], 0.0], [[0.87, 0.311], 0.0], [[0.635, 0.224], 0.0], [[0.421, 0.096], 0.0], [[0.171, 0.086], 0.0], [[0.0, 0.0], 1]], [[[11.0, 0.0], 1.0], [[10.773, 0.105], 0.0], [[10.525, 0.137], 0.0], [[10.318, 0.277], 0.0], [[10.079, 0.349], 0.0], [[9.839, 0.418], 0.0], [[9.606, 0.51], 0.0], [[9.366, 0.581], 0.0], [[9.143, 0.692], 0.0], [[8.929, 0.823], 0.0], [[8.688, 0.887], 0.0], [[8.445, 0.945], 0.0], [[8.2, 0.995], 0.0], [[7.971, 1.097], 0.0], [[7.732, 1.17], 0.0], [[7.493, 1.242], 0.0], [[7.284, 1.379], 0.0], [[7.039, 1.428], 0.0], [[6.789, 1.441], 0.0], [[6.555, 1.528], 0.0], [[6.321, 1.616], 0.0], [[6.077, 1.67], 0.0], [[5.852, 1.78], 0.0], [[5.65, 1.927], 0.0], [[5.658, 2.177], 0.0], [[5.52, 2.385], 0.0], [[5.506, 2.634], 0.0], [[5.32, 2.467], 0.0], [[5.235, 2.232], 0.0], [[5.064, 2.05], 0.0], [[5.0, 2.0], 1.0], [[5.227, 1.896], 0.0], [[5.465, 1.819], 0.0], [[5.699, 1.731], 0.0], [[5.943, 1.677], 0.0], [[6.17, 1.571], 0.0], [[6.398, 1.469], 0.0], [[6.642, 1.413], 0.0], [[6.885, 1.354], 0.0], [[7.126, 1.289], 0.0], [[7.364, 1.213], 0.0], [[7.606, 1.149], 0.0], [[7.852, 1.104], 0.0], [[8.082, 1.007], 0.0], [[8.313, 0.91], 0.0], [[8.553, 0.841], 0.0], [[8.8, 0.806], 0.0], [[9.016, 0.679], 0.0], [[9.259, 0.622], 0.0], [[9.507, 0.594], 0.0], [[9.744, 0.514], 0.0], [[9.983, 0.439], 0.0], [[10.227, 0.384], 0.0], [[10.47, 0.326], 0.0], [[10.697, 0.221], 0.0], [[10.903, 0.08], 0.0], [[11.0, 0.0], 1]], [[[0.0, 11.0], 2]], [[[11.0, 11.0], 1.0], [[10.809, 10.839], 0.0], [[10.603, 10.698], 0.0], [[10.405, 10.545], 0.0], [[10.185, 10.426], 0.0], [[9.988, 10.272], 0.0], [[9.765, 10.159], 0.0], [[9.559, 10.017], 0.0], [[9.373, 9.85], 0.0], [[9.17, 9.704], 0.0], [[8.959, 9.57], 0.0], [[8.752, 9.43], 0.0], [[8.53, 9.315], 0.0], [[8.319, 9.181], 0.0], [[8.095, 9.07], 0.0], [[8.0, 9.0], 1.0], [[8.217, 9.125], 0.0], [[8.428, 9.258], 0.0], [[8.629, 9.406], 0.0], [[8.835, 9.548], 0.0], [[9.048, 9.679], 0.0], [[9.276, 9.781], 0.0], [[9.498, 9.897], 0.0], [[9.706, 10.036], 0.0], [[9.89, 10.205], 0.0], [[10.07, 10.378], 0.0], [[10.266, 10.534], 0.0], [[10.452, 10.701], 0.0], [[10.664, 10.834], 0.0], [[10.891, 10.938], 0.0], [[11.0, 11.0], 1]], [[[5.5, 0.0], 2]], [[[0.0, 5.5], 2]], [[[11.0, 5.5], 2]], [[[5.5, 11.0], 2]]]",99.41,0,0,0,0,31.806,0,0,32.5,19,130,0
basic_ca,8,"[[[[0.0, 0.0], 1], [[5.0, 2.0], 1], [[0.0, 0.0], 1]], [[[11.0, 0.0], 1.5], [[5.0, 2.0], 1], [[11.0, 0.0], 1]], [[[0.0, 11.0], 2]], [[[11.0, 11.0], 1], [[8.0, 9.0], 1], [[11.0, 11.0], 1]], [[[5.5, 0.0], 2]], [[[0.0, 5.5], 2]], [[[11.0, 5.5], 2]], [[[5.5, 11.0], 2]]]",99.41,0,0,0,0,30.631,0,0,31.5,19.5,6,0
,,,,,,,,,,,,,,
no_ca,10,"[[[[0.0, 0.0], 2]], [[[11.0, 0.0], 2]], [[[0.0, 11.0], 1], [[1.0, 9.0], 1], [[2.0, 4.0], 1], [[1.0, 4.0], 1], [[3.0, 8.0], 1], [[0.0, 11.0], 1]], [[[11.0, 11.0], 2]], [[[5.5, 0.0], 2]], [[[0.0, 5.5], 2]], [[[11.0, 5.5], 2]], [[[5.5, 11.0], 2]], [[[8.25, 0.0], 2]], [[[0.0, 8.25], 1], [[1.0, 9.0], 1], [[3.0, 8.0], 1], [[2.0, 4.0], 1], [[1.0, 4.0], 1], [[0.0, 8.25], 1]]]",98.62,3,2,0,1,30.025,1.75,0.058,30.5,28,10,0.3
pf_ca,10,"[[[[0.0, 0.0], 2]], [[[11.0, 0.0], 2]], [[[0.0, 11.0], 1.0], [[0.153, 10.802], 0.0], [[0.265, 10.579], 0.0], [[0.371, 10.352], 0.0], [[0.461, 10.119], 0.0], [[0.539, 9.881], 0.0], [[0.621, 9.645], 0.0], [[0.786, 9.457], 0.0], [[0.983, 9.303], 0.0], [[1.047, 9.062], 0.0], [[1.0, 9.0], 1.0], [[1.164, 8.811], 0.0], [[1.414, 8.804], 0.0], [[1.467, 8.56], 0.0], [[1.624, 8.365], 0.0], [[1.632, 8.115], 0.0], [[1.706, 7.877], 0.0], [[1.744, 7.63], 0.0], [[1.744, 7.38], 0.0], [[1.737, 7.13], 0.0], [[1.709, 6.881], 0.0], [[1.73, 6.632], 0.0], [[1.796, 6.391], 0.0], [[1.811, 6.141], 0.0], [[1.872, 5.899], 0.0], [[1.893, 5.65], 0.0], [[1.887, 5.4], 0.0], [[1.882, 5.15], 0.0], [[1.934, 4.906], 0.0], [[1.959, 4.657], 0.0], [[2.034, 4.419], 0.0], [[2.035, 4.169], 0.0], [[2.0, 4.0], 1.0], [[1.752, 4.029], 0.0], [[1.502, 4.044], 0.0], [[1.252, 4.043], 0.0], [[1.153, 3.813], 0.0], [[1.0, 4.0], 1.0], [[1.168, 4.185], 0.0], [[1.229, 4.427], 0.0], [[1.35, 4.646], 0.0], [[1.457, 4.872], 0.0], [[1.558, 5.101], 0.0], [[1.626, 5.341], 0.0], [[1.752, 5.557], 0.0], [[1.881, 5.771], 0.0], [[1.971, 6.004], 0.0], [[2.086, 6.227], 0.0], [[2.188, 6.455], 0.0], [[2.319, 6.668], 0.0], [[2.399, 6.905], 0.0], [[2.479, 7.141], 0.0], [[2.638, 7.335], 0.0], [[2.78, 7.541], 0.0], [[2.845, 7.782], 0.0], [[3.083, 7.705], 0.0], [[3.274, 7.866], 0.0], [[3.025, 7.892], 0.0], [[3.0, 8.0], 1.0], [[2.826, 8.18], 0.0], [[2.638, 8.344], 0.0], [[2.481, 8.538], 0.0], [[2.305, 8.717], 0.0], [[2.107, 8.869], 0.0], [[1.927, 9.043], 0.0], [[1.727, 9.192], 0.0], [[1.555, 9.373], 0.0], [[1.4, 9.57], 0.0], [[1.21, 9.732], 0.0], [[1.049, 9.923], 0.0], [[0.866, 10.093], 0.0], [[0.698, 10.279], 0.0], [[0.509, 10.443], 0.0], [[0.336, 10.623], 0.0], [[0.195, 10.829], 0.0], [[0.444, 10.849], 0.0], [[0.227, 10.974], 0.0], [[0.0, 11.0], 1]], [[[11.0, 11.0], 2]], [[[5.5, 0.0], 2]], [[[0.0, 5.5], 2]], [[[11.0, 5.5], 2]], [[[5.5, 11.0], 2]], [[[8.25, 0.0], 2]], [[[0.0, 8.25], 1.0], [[0.205, 8.393], 0.0], [[0.407, 8.54], 0.0], [[0.642, 8.627], 0.0], [[0.892, 8.624], 0.0], [[1.098, 8.765], 0.0], [[1.185, 8.531], 0.0], [[1.088, 8.761], 0.0], [[1.109, 8.512], 0.0], [[0.968, 8.305], 0.0], [[0.911, 8.548], 0.0], [[0.759, 8.35], 0.0], [[0.991, 8.444], 0.0], [[0.85, 8.237], 0.0], [[1.062, 8.369], 0.0], [[0.814, 8.337], 0.0], [[0.629, 8.506], 0.0], [[0.634, 8.756], 0.0], [[0.818, 8.925], 0.0], [[1.0, 9.0], 1.0], [[1.234, 8.913], 0.0], [[1.437, 8.767], 0.0], [[1.651, 8.637], 0.0], [[1.895, 8.582], 0.0], [[2.098, 8.438], 0.0], [[2.328, 8.338], 0.0], [[2.547, 8.218], 0.0], [[2.777, 8.12], 0.0], [[2.679, 7.89], 0.0], [[2.928, 7.91], 0.0], [[3.0, 8.0], 1.0], [[2.926, 7.761], 0.0], [[2.87, 7.518], 0.0], [[2.798, 7.278], 0.0], [[2.727, 7.038], 0.0], [[2.702, 6.79], 0.0], [[2.631, 6.55], 0.0], [[2.538, 6.318], 0.0], [[2.491, 6.072], 0.0], [[2.457, 5.825], 0.0], [[2.364, 5.593], 0.0], [[2.297, 5.352], 0.0], [[2.355, 5.109], 0.0], [[2.355, 4.859], 0.0], [[2.421, 4.617], 0.0], [[2.438, 4.368], 0.0], [[2.398, 4.121], 0.0], [[2.224, 3.942], 0.0], [[2.0, 4.0], 1.0], [[1.75, 4.014], 0.0], [[1.5, 4.02], 0.0], [[1.25, 4.016], 0.0], [[1.484, 3.926], 0.0], [[1.255, 4.026], 0.0], [[1.007, 4.055], 0.0], [[1.0, 4.0], 1.0], [[0.958, 4.246], 0.0], [[0.909, 4.492], 0.0], [[0.985, 4.73], 0.0], [[1.041, 4.974], 0.0], [[1.118, 5.211], 0.0], [[1.164, 5.457], 0.0], [[1.164, 5.707], 0.0], [[1.159, 5.957], 0.0], [[1.168, 6.207], 0.0], [[1.151, 6.456], 0.0], [[1.111, 6.703], 0.0], [[0.947, 6.892], 0.0], [[0.799, 7.093], 0.0], [[0.719, 7.33], 0.0], [[0.546, 7.511], 0.0], [[0.385, 7.702], 0.0], [[0.232, 7.899], 0.0], [[0.079, 8.097], 0.0], [[0.0, 8.25], 1]]]",98.62,0,0,0,0,36.852,0,0,38,28,151,0
basic_ca,10,"[[[[0.0, 0.0], 2]], [[[11.0, 0.0], 2]], [[[0.0, 11.0], 1.5], [[1.0, 9.0], 1], [[2.0, 4.0], 1], [[1.0, 4.0], 1], [[3.0, 8.0], 1], [[0.0, 11.0], 1]], [[[11.0, 11.0], 2]], [[[5.5, 0.0], 2]], [[[0.0, 5.5], 2]], [[[11.0, 5.5], 2]], [[[5.5, 11.0], 2]], [[[8.25, 0.0], 2]], [[[0.0, 8.25], 1], [[1.0, 9.0], 1], [[3.0, 8.0], 1.75], [[2.0, 4.0], 1], [[1.0, 4.0], 1], [[0.0, 8.25], 1]]]",98.49,0,0,0,0,30.025,0,0,30.5,29.25,10,0
,,,,,,,,,,,,,,
