Strategy,n_drones,Plan,Sensing Mismatch %,Total Collisions,Cross Collisions,Parallel Collisions,Cell Occupied Collisions,Total Flights Distance,Total Collision Distance,Risk of Collision,Total Duration of Flights,Total Hover Duration,Number of Flights,Average Collisions per Flight
pf_ca,4,"[[[[0.0, 0.0], 1.0], [[0.237, 0.079], 0.0], [[0.475, 0.155], 0.0], [[0.695, 0.273], 0.0], [[0.899, 0.419], 0.0], [[1.118, 0.54], 0.0], [[1.326, 0.678], 0.0], [[1.549, 0.791], 0.0], [[1.786, 0.87], 0.0], [[2.036, 0.863], 0.0], [[2.0, 1.0], 1.0], [[2.19, 1.163], 0.0], [[2.365, 1.341], 0.0], [[2.541, 1.518], 0.0], [[2.698, 1.713], 0.0], [[2.883, 1.881], 0.0], [[3.058, 2.06], 0.0], [[3.23, 2.241], 0.0], [[3.423, 2.401], 0.0], [[3.604, 2.573], 0.0], [[3.77, 2.759], 0.0], [[3.918, 2.961], 0.0], [[4.134, 3.088], 0.0], [[4.331, 3.241], 0.0], [[4.485, 3.438], 0.0], [[4.579, 3.67], 0.0], [[4.331, 3.707], 0.0], [[4.576, 3.654], 0.0], [[4.533, 3.9], 0.0], [[4.286, 3.864], 0.0], [[4.532, 3.908], 0.0], [[4.283, 3.887], 0.0], [[4.482, 4.038], 0.0], [[4.717, 4.125], 0.0], [[4.529, 4.29], 0.0], [[4.737, 4.152], 0.0], [[4.52, 4.028], 0.0], [[4.77, 4.024], 0.0], [[5.0, 4.0], 1.0], [[5.013, 4.25], 0.0], [[4.985, 4.498], 0.0], [[5.003, 4.747], 0.0], [[5.107, 4.974], 0.0], [[5.0, 5.0], 1.0], [[4.993, 4.75], 0.0], [[4.997, 4.5], 0.0], [[4.96, 4.253], 0.0], [[4.967, 4.003], 0.0], [[5.002, 3.756], 0.0], [[5.052, 3.511], 0.0], [[5.008, 3.264], 0.0], [[4.948, 3.022], 0.0], [[5.0, 3.0], 1.0], [[4.75, 3.011], 0.0], [[4.504, 2.969], 0.0], [[4.267, 2.888], 0.0], [[4.043, 2.777], 0.0], [[3.817, 2.67], 0.0], [[3.591, 2.564], 0.0], [[3.384, 2.424], 0.0], [[3.188, 2.268], 0.0], [[2.979, 2.132], 0.0], [[2.762, 2.007], 0.0], [[2.568, 1.849], 0.0], [[2.35, 1.727], 0.0], [[2.138, 1.594], 0.0], [[1.955, 1.424], 0.0], [[1.76, 1.267], 0.0], [[1.559, 1.119], 0.0], [[1.382, 0.943], 0.0], [[1.167, 0.815], 0.0], [[0.954, 0.684], 0.0], [[0.762, 0.524], 0.0], [[0.581, 0.351], 0.0], [[0.338, 0.292], 0.0], [[0.163, 0.114], 0.0], [[0.0, 0.0], 1]], [[[11.0, 0.0], 1.0], [[10.805, 0.156], 0.0], [[10.634, 0.339], 0.0], [[10.43, 0.483], 0.0], [[10.239, 0.645], 0.0], [[10.015, 0.755], 0.0], [[9.838, 0.932], 0.0], [[9.642, 1.088], 0.0], [[9.46, 1.258], 0.0], [[9.238, 1.374], 0.0], [[9.03, 1.513], 0.0], [[8.812, 1.634], 0.0], [[8.598, 1.764], 0.0], [[8.371, 1.868], 0.0], [[8.182, 2.033], 0.0], [[7.959, 2.146], 0.0], [[7.769, 2.309], 0.0], [[7.551, 2.431], 0.0], [[7.334, 2.553], 0.0], [[7.138, 2.709], 0.0], [[6.938, 2.859], 0.0], [[6.72, 2.982], 0.0], [[6.514, 3.123], 0.0], [[6.284, 3.222], 0.0], [[6.063, 3.339], 0.0], [[5.87, 3.498], 0.0], [[5.662, 3.637], 0.0], [[5.457, 3.779], 0.0], [[5.395, 4.021], 0.0], [[5.152, 4.082], 0.0], [[5.0, 4.0], 1.0], [[5.237, 3.92], 0.0], [[5.471, 3.832], 0.0], [[5.674, 3.687], 0.0], [[5.845, 3.504], 0.0], [[6.031, 3.337], 0.0], [[6.182, 3.138], 0.0], [[6.368, 2.971], 0.0], [[6.544, 2.793], 0.0], [[6.652, 2.568], 0.0], [[6.812, 2.376], 0.0], [[6.949, 2.167], 0.0], [[7.103, 1.969], 0.0], [[7.278, 1.791], 0.0], [[7.452, 1.612], 0.0], [[7.663, 1.477], 0.0], [[7.803, 1.27], 0.0], [[7.932, 1.056], 0.0], [[8.0, 1.0], 1.0], [[7.762, 1.077], 0.0], [[7.564, 1.229], 0.0], [[7.337, 1.335], 0.0], [[7.14, 1.489], 0.0], [[6.945, 1.645], 0.0], [[6.727, 1.767], 0.0], [[6.511, 1.894], 0.0], [[6.314, 2.047], 0.0], [[6.082, 2.14], 0.0], [[5.898, 2.309], 0.0], [[5.67, 2.413], 0.0], [[5.52, 2.613], 0.0], [[5.42, 2.842], 0.0], [[5.239, 3.015], 0.0], [[5.0, 3.0], 1.0], [[5.242, 2.939], 0.0], [[5.474, 2.845], 0.0], [[5.682, 2.706], 0.0], [[5.899, 2.583], 0.0], [[6.121, 2.467], 0.0], [[6.329, 2.329], 0.0], [[6.548, 2.208], 0.0], [[6.773, 2.098], 0.0], [[7.013, 2.028], 0.0], [[7.228, 1.9], 0.0], [[7.454, 1.795], 0.0], [[7.683, 1.694], 0.0], [[7.913, 1.597], 0.0], [[8.148, 1.511], 0.0], [[8.376, 1.408], 0.0], [[8.569, 1.249], 0.0], [[8.787, 1.126], 0.0], [[8.991, 0.982], 0.0], [[9.206, 0.854], 0.0], [[9.426, 0.736], 0.0], [[9.655, 0.635], 0.0], [[9.866, 0.501], 0.0], [[10.102, 0.42], 0.0], [[10.327, 0.31], 0.0], [[10.563, 0.228], 0.0], [[10.77, 0.087], 0.0], [[11.0, 0.0], 1]], [[[0.0, 11.0], 1.0], [[0.132, 10.788], 0.0], [[0.208, 10.55], 0.0], [[0.279, 10.31], 0.0], [[0.4, 10.091], 0.0], [[0.437, 9.844], 0.0], [[0.508, 9.604], 0.0], [[0.546, 9.357], 0.0], [[0.621, 9.119], 0.0], [[0.674, 8.874], 0.0], [[0.764, 8.641], 0.0], [[0.865, 8.412], 0.0], [[0.939, 8.174], 0.0], [[1.0, 8.0], 1.0], [[1.237, 7.92], 0.0], [[1.486, 7.895], 0.0], [[1.724, 7.82], 0.0], [[1.967, 7.762], 0.0], [[2.212, 7.712], 0.0], [[2.449, 7.631], 0.0], [[2.694, 7.583], 0.0], [[2.934, 7.511], 0.0], [[3.183, 7.504], 0.0], [[3.432, 7.475], 0.0], [[3.679, 7.439], 0.0], [[3.922, 7.381], 0.0], [[4.171, 7.36], 0.0], [[4.415, 7.304], 0.0], [[4.665, 7.29], 0.0], [[4.903, 7.215], 0.0], [[5.148, 7.161], 0.0], [[5.385, 7.083], 0.0], [[5.633, 7.05], 0.0], [[5.883, 7.04], 0.0], [[6.0, 7.0], 1.0], [[5.784, 7.126], 0.0], [[5.568, 7.252], 0.0], [[5.363, 7.395], 0.0], [[5.149, 7.525], 0.0], [[4.938, 7.658], 0.0], [[4.721, 7.782], 0.0], [[4.499, 7.897], 0.0], [[4.265, 7.986], 0.0], [[4.065, 8.136], 0.0], [[3.846, 8.257], 0.0], [[3.661, 8.425], 0.0], [[3.462, 8.577], 0.0], [[3.253, 8.714], 0.0], [[3.063, 8.876], 0.0], [[2.858, 9.019], 0.0], [[2.652, 9.161], 0.0], [[2.462, 9.323], 0.0], [[2.242, 9.442], 0.0], [[2.019, 9.555], 0.0], [[1.831, 9.72], 0.0], [[1.663, 9.905], 0.0], [[1.476, 10.072], 0.0], [[1.273, 10.218], 0.0], [[1.055, 10.34], 0.0], [[0.867, 10.505], 0.0], [[0.623, 10.559], 0.0], [[0.431, 10.718], 0.0], [[0.193, 10.795], 0.0], [[0.111, 11.031], 0.0], [[0.0, 11.0], 1]], [[[11.0, 11.0], 1.0], [[10.82, 10.826], 0.0], [[10.627, 10.667], 0.0], [[10.461, 10.481], 0.0], [[10.261, 10.33], 0.0], [[10.072, 10.167], 0.0], [[9.886, 10.0], 0.0], [[9.698, 9.836], 0.0], [[9.499, 9.683], 0.0], [[9.296, 9.538], 0.0], [[9.102, 9.38], 0.0], [[8.915, 9.214], 0.0], [[8.717, 9.062], 0.0], [[8.522, 8.905], 0.0], [[8.317, 8.763], 0.0], [[8.109, 8.623], 0.0], [[7.923, 8.456], 0.0], [[7.717, 8.314], 0.0], [[7.544, 8.134], 0.0], [[7.328, 8.008], 0.0], [[7.107, 7.891], 0.0], [[6.947, 7.699], 0.0], [[6.752, 7.543], 0.0], [[6.529, 7.43], 0.0], [[6.333, 7.275], 0.0], [[6.188, 7.071], 0.0], [[6.0, 7.0], 1.0], [[6.218, 7.122], 0.0], [[6.43, 7.255], 0.0], [[6.638, 7.394], 0.0], [[6.872, 7.481], 0.0], [[7.105, 7.573], 0.0], [[7.343, 7.647], 0.0], [[7.538, 7.804], 0.0], [[7.764, 7.912], 0.0], [[7.978, 8.041], 0.0], [[8.206, 8.142], 0.0], [[8.409, 8.288], 0.0], [[8.643, 8.378], 0.0], [[8.86, 8.501], 0.0], [[9.104, 8.558], 0.0], [[9.337, 8.648], 0.0], [[9.562, 8.756], 0.0], [[9.8, 8.834], 0.0], [[10.009, 8.971], 0.0], [[10.0, 9.0], 1.0], [[10.102, 9.228], 0.0], [[10.222, 9.448], 0.0], [[10.326, 9.675], 0.0], [[10.437, 9.899], 0.0], [[10.548, 10.123], 0.0], [[10.681, 10.335], 0.0], [[10.796, 10.557], 0.0], [[10.949, 10.755], 0.0], [[11.177, 10.654], 0.0], [[11.013, 10.842], 0.0], [[11.0, 11.0], 1]]]",97.69,0,0,0,0,70.049,0,0,71.75,19,286,0
basic_ca,4,"[[[[0.0, 0.0], 1], [[2.0, 1.0], 1], [[5.0, 4.0], 1], [[5.0, 5.0], 1], [[5.0, 3.0], 1], [[0.0, 0.0], 1]], [[[11.0, 0.0], 2.75], [[5.0, 4.0], 1], [[8.0, 1.0], 1], [[5.0, 3.0], 1], [[11.0, 0.0], 1]], [[[0.0, 11.0], 1], [[1.0, 8.0], 1], [[6.0, 7.0], 1], [[0.0, 11.0], 1]], [[[11.0, 11.0], 1], [[6.0, 7.0], 1], [[10.0, 9.0], 1], [[11.0, 11.0], 1]]]",97.69,0,0,0,0,65.661,0,0,66.5,20.75,15,0
,,,,,,,,,,,,,,
no_ca,5,"[[[[0.0, 0.0], 1], [[3.0, 2.0], 1], [[1.0, 3.0], 1], [[0.0, 0.0], 1]], [[[11.0, 0.0], 1], [[7.0, 4.0], 1], [[8.0, 2.0], 1], [[8.0, 6.0], 1], [[11.0, 0.0], 1]], [[[0.0, 11.0], 2]], [[[11.0, 11.0], 2]], [[[5.5, 0.0], 2]]]",99.06,0,0,0,0,27.605,0,0,28,15,7,0
pf_ca,5,"[[[[0.0, 0.0], 1.0], [[0.22, 0.119], 0.0], [[0.425, 0.262], 0.0], [[0.639, 0.391], 0.0], [[0.852, 0.522], 0.0], [[1.07, 0.643], 0.0], [[1.275, 0.788], 0.0], [[1.46, 0.956], 0.0], [[1.686, 1.061], 0.0], [[1.914, 1.166], 0.0], [[2.129, 1.293], 0.0], [[2.357, 1.395], 0.0], [[2.53, 1.576], 0.0], [[2.706, 1.753], 0.0], [[2.908, 1.901], 0.0], [[3.0, 2.0], 1.0], [[2.769, 2.096], 0.0], [[2.544, 2.204], 0.0], [[2.341, 2.35], 0.0], [[2.117, 2.462], 0.0], [[1.897, 2.581], 0.0], [[1.67, 2.685], 0.0], [[1.444, 2.793], 0.0], [[1.212, 2.886], 0.0], [[1.0, 3.0], 1.0], [[0.921, 2.763], 0.0], [[0.881, 2.516], 0.0], [[0.836, 2.27], 0.0], [[0.757, 2.033], 0.0], [[0.718, 1.786], 0.0], [[0.602, 1.565], 0.0], [[0.516, 1.33], 0.0], [[0.409, 1.104], 0.0], [[0.364, 0.858], 0.0], [[0.255, 0.633], 0.0], [[0.167, 0.399], 0.0], [[0.141, 0.15], 0.0], [[0.0, 0.0], 1]], [[[11.0, 0.0], 1.0], [[10.807, 0.159], 0.0], [[10.632, 0.337], 0.0], [[10.455, 0.514], 0.0], [[10.268, 0.679], 0.0], [[10.084, 0.849], 0.0], [[9.906, 1.025], 0.0], [[9.725, 1.197], 0.0], [[9.557, 1.382], 0.0], [[9.381, 1.56], 0.0], [[9.218, 1.749], 0.0], [[9.02, 1.902], 0.0], [[8.868, 2.1], 0.0], [[8.676, 2.261], 0.0], [[8.474, 2.409], 0.0], [[8.292, 2.579], 0.0], [[8.113, 2.754], 0.0], [[7.985, 2.968], 0.0], [[7.828, 3.163], 0.0], [[7.635, 3.322], 0.0], [[7.464, 3.504], 0.0], [[7.267, 3.658], 0.0], [[7.056, 3.792], 0.0], [[7.0, 4.0], 1.0], [[7.067, 3.759], 0.0], [[7.189, 3.541], 0.0], [[7.283, 3.309], 0.0], [[7.369, 3.075], 0.0], [[7.505, 2.864], 0.0], [[7.688, 2.695], 0.0], [[7.818, 2.481], 0.0], [[7.939, 2.263], 0.0], [[7.989, 2.018], 0.0], [[8.0, 2.0], 1.0], [[7.985, 2.25], 0.0], [[8.002, 2.499], 0.0], [[8.023, 2.748], 0.0], [[7.971, 2.993], 0.0], [[7.992, 3.242], 0.0], [[7.982, 3.492], 0.0], [[7.978, 3.742], 0.0], [[7.975, 3.992], 0.0], [[7.972, 4.242], 0.0], [[7.942, 4.49], 0.0], [[7.93, 4.74], 0.0], [[7.941, 4.989], 0.0], [[7.917, 5.238], 0.0], [[7.94, 5.487], 0.0], [[7.929, 5.737], 0.0], [[7.956, 5.986], 0.0], [[8.0, 6.0], 1.0], [[8.137, 5.791], 0.0], [[8.262, 5.574], 0.0], [[8.376, 5.352], 0.0], [[8.462, 5.117], 0.0], [[8.528, 4.876], 0.0], [[8.621, 4.644], 0.0], [[8.7, 4.407], 0.0], [[8.857, 4.212], 0.0], [[8.926, 3.972], 0.0], [[9.046, 3.753], 0.0], [[9.172, 3.537], 0.0], [[9.261, 3.303], 0.0], [[9.385, 3.086], 0.0], [[9.503, 2.866], 0.0], [[9.618, 2.644], 0.0], [[9.744, 2.428], 0.0], [[9.835, 2.195], 0.0], [[9.92, 1.96], 0.0], [[10.067, 1.758], 0.0], [[10.205, 1.549], 0.0], [[10.345, 1.342], 0.0], [[10.463, 1.122], 0.0], [[10.545, 0.886], 0.0], [[10.673, 0.671], 0.0], [[10.788, 0.449], 0.0], [[10.909, 0.23], 0.0], [[11.0, 0.0], 1]], [[[0.0, 11.0], 2]], [[[11.0, 11.0], 2]], [[[5.5, 0.0], 2]]]",99.06,0,0,0,0,27.862,0,0,29.25,15,114,0
basic_ca,5,"[[[[0.0, 0.0], 1], [[3.0, 2.0], 1], [[1.0, 3.0], 1], [[0.0, 0.0], 1]], [[[11.0, 0.0], 1], [[7.0, 4.0], 1], [[8.0, 2.0], 1], [[8.0, 6.0], 1], [[11.0, 0.0], 1]], [[[0.0, 11.0], 2]], [[[11.0, 11.0], 2]], [[[5.5, 0.0], 2]]]",99.06,0,0,0,0,27.605,0,0,28,15,7,0
,,,,,,,,,,,,,,
no_ca,6,"[[[[0.0, 0.0], 1], [[2.0, 2.0], 1], [[3.0, 2.0], 1], [[6.0, 3.0], 1], [[1.0, 6.0], 1], [[3.0, 5.0], 1], [[6.0, 1.0], 1], [[0.0, 0.0], 1]], [[[11.0, 0.0], 1], [[10.0, 2.0], 1], [[8.0, 5.0], 1], [[10.0, 6.0], 1], [[8.0, 6.0], 1], [[6.0, 3.0], 1], [[6.0, 1.0], 1], [[11.0, 0.0], 1]], [[[0.0, 11.0], 2]], [[[11.0, 11.0], 2]], [[[5.5, 0.0], 2]], [[[0.0, 5.5], 2]]]",97.82,0,0,0,0,46.923,0,0,48,24,14,0
pf_ca,6,"[[[[0.0, 0.0], 1.0], [[0.154, 0.197], 0.0], [[0.362, 0.335], 0.0], [[0.563, 0.484], 0.0], [[0.708, 0.688], 0.0], [[0.895, 0.854], 0.0], [[1.063, 1.039], 0.0], [[1.229, 1.226], 0.0], [[1.384, 1.422], 0.0], [[1.58, 1.577], 0.0], [[1.766, 1.745], 0.0], [[1.599, 1.558], 0.0], [[1.763, 1.747], 0.0], [[1.595, 1.561], 0.0], [[1.775, 1.735], 0.0], [[1.542, 1.644], 0.0], [[1.757, 1.772], 0.0], [[1.931, 1.592], 0.0], [[2.009, 1.83], 0.0], [[2.0, 2.0], 1.0], [[2.249, 2.025], 0.0], [[2.498, 2.048], 0.0], [[2.745, 2.011], 0.0], [[2.994, 2.035], 0.0], [[3.0, 2.0], 1.0], [[3.227, 2.104], 0.0], [[3.466, 2.18], 0.0], [[3.711, 2.225], 0.0], [[3.946, 2.313], 0.0], [[4.173, 2.416], 0.0], [[4.415, 2.48], 0.0], [[4.657, 2.541], 0.0], [[4.898, 2.608], 0.0], [[5.139, 2.674], 0.0], [[5.381, 2.738], 0.0], [[5.616, 2.822], 0.0], [[5.846, 2.921], 0.0], [[6.0, 3.0], 1.0], [[5.787, 3.131], 0.0], [[5.562, 3.241], 0.0], [[5.354, 3.379], 0.0], [[5.13, 3.49], 0.0], [[4.925, 3.633], 0.0], [[4.726, 3.784], 0.0], [[4.53, 3.94], 0.0], [[4.311, 4.061], 0.0], [[4.092, 4.18], 0.0], [[3.88, 4.313], 0.0], [[3.687, 4.473], 0.0], [[3.452, 4.557], 0.0], [[3.247, 4.701], 0.0], [[3.038, 4.837], 0.0], [[2.827, 4.971], 0.0], [[2.587, 5.042], 0.0], [[2.368, 5.163], 0.0], [[2.144, 5.273], 0.0], [[1.937, 5.414], 0.0], [[1.714, 5.526], 0.0], [[1.514, 5.677], 0.0], [[1.325, 5.84], 0.0], [[1.095, 5.939], 0.0], [[1.0, 6.0], 1.0], [[1.213, 5.869], 0.0], [[1.445, 5.777], 0.0], [[1.664, 5.656], 0.0], [[1.904, 5.585], 0.0], [[2.141, 5.507], 0.0], [[2.345, 5.362], 0.0], [[2.579, 5.275], 0.0], [[2.812, 5.185], 0.0], [[2.984, 5.002], 0.0], [[3.0, 5.0], 1.0], [[3.15, 4.8], 0.0], [[3.286, 4.59], 0.0], [[3.443, 4.396], 0.0], [[3.588, 4.192], 0.0], [[3.763, 4.013], 0.0], [[3.942, 3.84], 0.0], [[4.039, 3.609], 0.0], [[4.199, 3.417], 0.0], [[4.308, 3.192], 0.0], [[4.449, 2.985], 0.0], [[4.58, 2.773], 0.0], [[4.753, 2.592], 0.0], [[4.884, 2.379], 0.0], [[5.042, 2.185], 0.0], [[5.157, 1.963], 0.0], [[5.313, 1.768], 0.0], [[5.461, 1.567], 0.0], [[5.586, 1.35], 0.0], [[5.792, 1.208], 0.0], [[5.627, 1.396], 0.0], [[5.838, 1.262], 0.0], [[5.946, 1.037], 0.0], [[6.0, 1.0], 1.0], [[5.751, 0.983], 0.0], [[5.522, 1.083], 0.0], [[5.301, 1.202], 0.0], [[5.057, 1.148], 0.0], [[4.813, 1.096], 0.0], [[4.565, 1.065], 0.0], [[4.322, 1.006], 0.0], [[4.075, 0.968], 0.0], [[3.839, 0.885], 0.0], [[3.591, 0.851], 0.0], [[3.344, 0.813], 0.0], [[3.096, 0.786], 0.0], [[2.85, 0.737], 0.0], [[2.613, 0.659], 0.0], [[2.38, 0.567], 0.0], [[2.135, 0.517], 0.0], [[1.889, 0.474], 0.0], [[1.645, 0.419], 0.0], [[1.401, 0.366], 0.0], [[1.163, 0.29], 0.0], [[0.913, 0.28], 0.0], [[0.674, 0.207], 0.0], [[0.436, 0.13], 0.0], [[0.187, 0.109], 0.0], [[0.0, 0.0], 1]], [[[11.0, 0.0], 1.0], [[10.872, 0.215], 0.0], [[10.732, 0.422], 0.0], [[10.61, 0.64], 0.0], [[10.446, 0.828], 0.0], [[10.352, 1.06], 0.0], [[10.276, 1.298], 0.0], [[10.163, 1.522], 0.0], [[10.067, 1.752], 0.0], [[10.315, 1.716], 0.0], [[10.1, 1.844], 0.0], [[10.0, 2.0], 1.0], [[9.858, 2.205], 0.0], [[9.703, 2.402], 0.0], [[9.56, 2.607], 0.0], [[9.413, 2.809], 0.0], [[9.29, 3.027], 0.0], [[9.117, 3.207], 0.0], [[8.99, 3.422], 0.0], [[8.87, 3.642], 0.0], [[8.73, 3.849], 0.0], [[8.595, 4.06], 0.0], [[8.46, 4.27], 0.0], [[8.283, 4.447], 0.0], [[8.172, 4.671], 0.0], [[8.052, 4.89], 0.0], [[8.0, 5.0], 1.0], [[8.186, 5.167], 0.0], [[8.418, 5.261], 0.0], [[8.633, 5.389], 0.0], [[8.877, 5.443], 0.0], [[9.102, 5.552], 0.0], [[9.317, 5.679], 0.0], [[9.53, 5.81], 0.0], [[9.757, 5.915], 0.0], [[10.005, 5.945], 0.0], [[10.0, 6.0], 1.0], [[9.75, 6.004], 0.0], [[9.5, 5.997], 0.0], [[9.262, 6.075], 0.0], [[9.013, 6.065], 0.0], [[8.765, 6.029], 0.0], [[8.517, 6.061], 0.0], [[8.273, 6.009], 0.0], [[8.023, 6.024], 0.0], [[8.0, 6.0], 1.0], [[7.844, 5.805], 0.0], [[7.71, 5.594], 0.0], [[7.571, 5.386], 0.0], [[7.419, 5.188], 0.0], [[7.297, 4.969], 0.0], [[7.171, 4.753], 0.0], [[7.039, 4.541], 0.0], [[6.897, 4.335], 0.0], [[6.735, 4.145], 0.0], [[6.587, 3.943], 0.0], [[6.438, 3.742], 0.0], [[6.299, 3.535], 0.0], [[6.19, 3.31], 0.0], [[6.065, 3.093], 0.0], [[6.0, 3.0], 1.0], [[6.017, 2.751], 0.0], [[6.037, 2.501], 0.0], [[6.043, 2.251], 0.0], [[6.035, 2.002], 0.0], [[6.024, 1.752], 0.0], [[5.995, 1.503], 0.0], [[6.047, 1.259], 0.0], [[6.054, 1.009], 0.0], [[6.0, 1.0], 1.0], [[6.246, 0.958], 0.0], [[6.494, 0.921], 0.0], [[6.738, 0.868], 0.0], [[6.979, 0.8], 0.0], [[7.225, 0.758], 0.0], [[7.467, 0.694], 0.0], [[7.714, 0.658], 0.0], [[7.957, 0.598], 0.0], [[8.207, 0.589], 0.0], [[8.456, 0.575], 0.0], [[8.701, 0.525], 0.0], [[8.946, 0.474], 0.0], [[9.188, 0.411], 0.0], [[9.431, 0.355], 0.0], [[9.676, 0.304], 0.0], [[9.917, 0.238], 0.0], [[10.163, 0.191], 0.0], [[10.412, 0.166], 0.0], [[10.661, 0.142], 0.0], [[10.909, 0.116], 0.0], [[11.0, 0.0], 1]], [[[0.0, 11.0], 2]], [[[11.0, 11.0], 2]], [[[5.5, 0.0], 2]], [[[0.0, 5.5], 2]]]",97.82,0,0,0,0,50.257,0,0,52.75,24,209,0
basic_ca,6,"[[[[0.0, 0.0], 1], [[2.0, 2.0], 1], [[3.0, 2.0], 1], [[6.0, 3.0], 1], [[1.0, 6.0], 1], [[3.0, 5.0], 1], [[6.0, 1.0], 1], [[0.0, 0.0], 1]], [[[11.0, 0.0], 1], [[10.0, 2.0], 1], [[8.0, 5.0], 1], [[10.0, 6.0], 1], [[8.0, 6.0], 1], [[6.0, 3.0], 1], [[6.0, 1.0], 1], [[11.0, 0.0], 1]], [[[0.0, 11.0], 2]], [[[11.0, 11.0], 2]], [[[5.5, 0.0], 2]], [[[0.0, 5.5], 2]]]",97.82,0,0,0,0,46.923,0,0,48,24,14,0
