Strategy,n_drones,Plan,Sensing Mismatch %,Total Collisions,Cross Collisions,Parallel Collisions,Dest. Occupied Collisions,Total Flights Distance,Total Collision Distance,Risk of Collision,Total Duration of Flights,Total Hover Duration,Number of Flights,Average Collisions per Flight
no_ca,1,"[[[[0.0, 0.0], 1], [[1.0, 1.0], 10], [[1.0, 2.0], 5], [[2.0, 2.0], 4], [[2.0, 1.0], 8], [[0.0, 0.0], 1]]]",44.9,0,0,0,0,6.65,0,0,6.75,29,5,0
pf_ca,1,"[[[[0.0, 0.0], 1.0], [[0.187, 0.166], 0.0], [[0.356, 0.35], 0.0], [[0.541, 0.518], 0.0], [[0.725, 0.687], 0.0], [[0.91, 0.855], 0.0], [[1.0, 1.0], 10.0], [[0.963, 1.247], 0.0], [[1.002, 1.494], 0.0], [[1.008, 1.744], 0.0], [[1.04, 1.992], 0.0], [[1.0, 2.0], 5.0], [[1.248, 1.971], 0.0], [[1.493, 1.921], 0.0], [[1.743, 1.929], 0.0], [[1.976, 2.019], 0.0], [[2.0, 2.0], 4.0], [[1.959, 1.753], 0.0], [[1.954, 1.503], 0.0], [[1.988, 1.256], 0.0], [[1.938, 1.011], 0.0], [[2.0, 1.0], 8.0], [[1.76, 0.931], 0.0], [[1.566, 0.772], 0.0], [[1.362, 0.628], 0.0], [[1.136, 0.522], 0.0], [[0.905, 0.427], 0.0], [[0.685, 0.307], 0.0], [[0.467, 0.184], 0.0], [[0.233, 0.097], 0.0], [[-0.009, 0.036], 0.0], [[0.0, 0.0], 1]]]",44.9,0,0,0,0,6.841,0,0,7.75,29,31,0
basic_ca,1,"[[[[0.0, 0.0], 1], [[1.0, 1.0], 10], [[1.0, 2.0], 5], [[2.0, 2.0], 4], [[2.0, 1.0], 8], [[0.0, 0.0], 1]]]",44.9,0,0,0,0,6.65,0,0,6.75,29,5,0
,,,,,,,,,,,,,,
no_ca,2,"[[[[0.0, 0.0], 1], [[1.0, 1.0], 8], [[1.0, 2.0], 7], [[2.0, 2.0], 3], [[2.0, 1.0], 5], [[0.0, 0.0], 1]], [[[4.0, 0.0], 1], [[2.0, 2.0], 2], [[2.0, 1.0], 3], [[4.0, 0.0], 1]]]",60.71,0,0,0,0,12.715,0,0,13,32,8,0
pf_ca,2,"[[[[0.0, 0.0], 1.0], [[0.192, 0.16], 0.0], [[0.361, 0.345], 0.0], [[0.523, 0.535], 0.0], [[0.678, 0.731], 0.0], [[0.889, 0.865], 0.0], [[1.0, 1.0], 8.0], [[0.994, 1.25], 0.0], [[0.998, 1.5], 0.0], [[1.035, 1.747], 0.0], [[0.93, 1.974], 0.0], [[1.0, 2.0], 7.0], [[1.25, 2.003], 0.0], [[1.499, 2.023], 0.0], [[1.748, 2.042], 0.0], [[1.998, 2.06], 0.0], [[2.0, 2.0], 3.0], [[1.98, 1.751], 0.0], [[1.995, 1.501], 0.0], [[1.96, 1.254], 0.0], [[1.923, 1.007], 0.0], [[2.0, 1.0], 5.0], [[1.763, 0.92], 0.0], [[1.538, 0.812], 0.0], [[1.344, 0.654], 0.0], [[1.105, 0.581], 0.0], [[0.883, 0.467], 0.0], [[0.658, 0.357], 0.0], [[0.434, 0.246], 0.0], [[0.19, 0.191], 0.0], [[0.161, -0.057], 0.0], [[0.0, 0.0], 1]], [[[4.0, 0.0], 1.0], [[3.798, 0.148], 0.0], [[3.638, 0.34], 0.0], [[3.475, 0.529], 0.0], [[3.3, 0.708], 0.0], [[3.101, 0.858], 0.0], [[2.9, 1.007], 0.0], [[2.734, 1.195], 0.0], [[2.594, 1.402], 0.0], [[2.403, 1.563], 0.0], [[2.235, 1.748], 0.0], [[2.04, 1.904], 0.0], [[2.0, 2.0], 2.0], [[2.029, 1.752], 0.0], [[2.016, 1.502], 0.0], [[1.999, 1.253], 0.0], [[2.088, 1.019], 0.0], [[2.0, 1.0], 3.0], [[2.241, 0.932], 0.0], [[2.466, 0.823], 0.0], [[2.677, 0.69], 0.0], [[2.913, 0.608], 0.0], [[3.12, 0.467], 0.0], [[3.331, 0.334], 0.0], [[3.556, 0.225], 0.0], [[3.78, 0.112], 0.0], [[4.0, 0.0], 1]]]",60.71,0,0,0,0,13.248,0,0,14.25,32,57,0
basic_ca,2,"[[[[0.0, 0.0], 1], [[1.0, 1.0], 8], [[1.0, 2.0], 7], [[2.0, 2.0], 3], [[2.0, 1.0], 5], [[0.0, 0.0], 1]], [[[4.0, 0.0], 1], [[2.0, 2.0], 2], [[2.0, 1.0], 3], [[4.0, 0.0], 1]]]",60.71,0,0,0,0,12.715,0,0,13,32,8,0
,,,,,,,,,,,,,,
no_ca,3,"[[[[0.0, 0.0], 1], [[1.0, 1.0], 2], [[1.0, 2.0], 3], [[2.0, 2.0], 3], [[2.0, 1.0], 3], [[0.0, 0.0], 1]], [[[4.0, 0.0], 1], [[3.0, 1.0], 2], [[3.0, 2.0], 2], [[2.0, 2.0], 4], [[2.0, 1.0], 4], [[4.0, 0.0], 1]], [[[0.0, 4.0], 1], [[1.0, 3.0], 7], [[1.0, 2.0], 7], [[2.0, 2.0], 7], [[2.0, 3.0], 6], [[0.0, 4.0], 1]]]",40.62,4,0,1,3,19.951,3.25,0.163,20.25,56,15,0.267
pf_ca,3,"[[[[0.0, 0.0], 1.0], [[0.169, 0.184], 0.0], [[0.359, 0.347], 0.0], [[0.566, 0.486], 0.0], [[0.734, 0.672], 0.0], [[0.861, 0.887], 0.0], [[1.0, 1.0], 2.0], [[1.006, 1.25], 0.0], [[1.006, 1.5], 0.0], [[1.036, 1.748], 0.0], [[0.958, 1.985], 0.0], [[1.0, 2.0], 3.0], [[1.246, 2.043], 0.0], [[1.416, 2.226], 0.0], [[1.331, 1.991], 0.0], [[1.53, 2.142], 0.0], [[1.281, 2.158], 0.0], [[1.471, 1.996], 0.0], [[1.701, 1.899], 0.0], [[1.649, 1.655], 0.0], [[1.783, 1.443], 0.0], [[1.566, 1.318], 0.0], [[1.742, 1.496], 0.0], [[1.936, 1.339], 0.0], [[2.065, 1.124], 0.0], [[2.185, 1.344], 0.0], [[2.188, 1.594], 0.0], [[2.303, 1.372], 0.0], [[2.15, 1.569], 0.0], [[2.185, 1.322], 0.0], [[2.421, 1.237], 0.0], [[2.486, 1.479], 0.0], [[2.538, 1.723], 0.0], [[2.435, 1.951], 0.0], [[2.185, 1.964], 0.0], [[2.0, 2.0], 3.0], [[2.084, 1.765], 0.0], [[2.166, 1.528], 0.0], [[1.94, 1.635], 0.0], [[2.083, 1.43], 0.0], [[2.026, 1.186], 0.0], [[2.0, 1.0], 3.0], [[1.762, 0.923], 0.0], [[1.547, 0.795], 0.0], [[1.302, 0.748], 0.0], [[1.094, 0.609], 0.0], [[0.906, 0.445], 0.0], [[0.667, 0.37], 0.0], [[0.424, 0.312], 0.0], [[0.254, 0.129], 0.0], [[0.005, 0.155], 0.0], [[0.0, 0.0], 1]], [[[4.0, 0.0], 1.0], [[3.812, 0.165], 0.0], [[3.645, 0.35], 0.0], [[3.502, 0.556], 0.0], [[3.343, 0.749], 0.0], [[3.133, 0.884], 0.0], [[3.0, 1.0], 2.0], [[2.964, 1.247], 0.0], [[2.925, 1.494], 0.0], [[2.979, 1.738], 0.0], [[3.071, 1.971], 0.0], [[3.0, 2.0], 2.0], [[2.75, 2.013], 0.0], [[2.501, 2.001], 0.0], [[2.251, 1.985], 0.0], [[2.002, 1.961], 0.0], [[2.0, 2.0], 4.0], [[1.918, 1.764], 0.0], [[1.728, 1.601], 0.0], [[1.795, 1.361], 0.0], [[1.768, 1.112], 0.0], [[1.947, 0.937], 0.0], [[2.0, 1.0], 4.0], [[2.116, 0.778], 0.0], [[2.273, 0.584], 0.0], [[2.462, 0.42], 0.0], [[2.691, 0.32], 0.0], [[2.921, 0.223], 0.0], [[3.166, 0.173], 0.0], [[3.412, 0.129], 0.0], [[3.662, 0.141], 0.0], [[3.897, 0.055], 0.0], [[4.0, 0.0], 1]], [[[0.0, 4.0], 1.0], [[0.19, 3.838], 0.0], [[0.348, 3.644], 0.0], [[0.528, 3.47], 0.0], [[0.691, 3.281], 0.0], [[0.905, 3.151], 0.0], [[1.0, 3.0], 7.0], [[0.872, 2.785], 0.0], [[0.924, 2.541], 0.0], [[0.85, 2.303], 0.0], [[0.854, 2.053], 0.0], [[1.0, 2.0], 7.0], [[1.239, 2.072], 0.0], [[1.453, 2.202], 0.0], [[1.683, 2.299], 0.0], [[1.9, 2.175], 0.0], [[2.0, 2.0], 7.0], [[2.07, 2.24], 0.0], [[2.054, 2.489], 0.0], [[2.087, 2.737], 0.0], [[1.942, 2.941], 0.0], [[2.0, 3.0], 6.0], [[1.762, 3.075], 0.0], [[1.568, 3.234], 0.0], [[1.348, 3.353], 0.0], [[1.118, 3.449], 0.0], [[0.884, 3.538], 0.0], [[0.671, 3.669], 0.0], [[0.431, 3.74], 0.0], [[0.218, 3.871], 0.0], [[0.438, 3.752], 0.0], [[0.189, 3.778], 0.0], [[-0.023, 3.909], 0.0], [[0.0, 4.0], 1]]]",40.62,0,0,0,0,27.208,0,0,29,56,116,0
