Strategy,n_drones,Plan,Sensing Mismatch %,Total Collisions,Cross Collisions,Parallel_Collisions,Cell Occupied Collisions,Total Flights Distance,Total Collision Distance,Risk of Collision,Total Duration of Flights,Number of Flights,Average Collisions per Flight
no_ca,1,"[[[[4.5, 0.0], 2]]]",100.0,0,0,0,0,0,0,0,0,0,0
pf_ca,1,"[[[[4.5, 0.0], 2]]]",100.0,0,0,0,0,0,0,0,0,0,0
basic_ca,1,"[[[[4.5, 0.0], 2]]]",100.0,0,0,0,0,0,0,0,0,0,0

no_ca,2,"[[[[4.5, 0.0], 2]], [[[0.0, 4.5], 2]]]",100.0,0,0,0,0,0,0,0,0,0,0
pf_ca,2,"[[[[4.5, 0.0], 2]], [[[0.0, 4.5], 2]]]",100.0,0,0,0,0,0,0,0,0,0,0
basic_ca,2,"[[[[4.5, 0.0], 2]], [[[0.0, 4.5], 2]]]",100.0,0,0,0,0,0,0,0,0,0,0

no_ca,3,"[[[[4.5, 0.0], 1], [[1.0, 2.0], 5], [[4.5, 0.0], 1]], [[[0.0, 4.5], 2]], [[[9.0, 4.5], 2]]]",98.7,0,0,0,0,8.062,0,0.0,9.0,2,0.0
pf_ca,3,"[[[[4.5, 0.0], 1.0], [[4.055, 0.229], 0.0], [[3.595, 0.424], 0.0], [[3.203, 0.734], 0.0], [[2.842, 1.08], 0.0], [[2.404, 1.32], 0.0], [[1.981, 1.587], 0.0], [[1.554, 1.847], 0.0], [[1.119, 2.095], 0.0], [[1.0, 2.0], 5.0], [[1.4, 1.701], 0.0], [[1.811, 1.415], 0.0], [[2.225, 1.135], 0.0], [[2.669, 0.905], 0.0], [[3.093, 0.639], 0.0], [[3.576, 0.511], 0.0], [[4.02, 0.281], 0.0], [[4.474, 0.071], 0.0], [[4.5, 0.0], 1]], [[[0.0, 4.5], 2]], [[[9.0, 4.5], 2]]]",98.7,0,0,0,0,8.228,0,0.0,9.0,18,0.0
basic_ca,3,"[[[[4.5, 0.0], 1], [[1.0, 2.0], 5], [[4.5, 0.0], 1]], [[[0.0, 4.5], 2]], [[[9.0, 4.5], 2]]]",98.7,0,0,0,0,8.062,0,0.0,9.0,2,0.0

no_ca,4,"[[[[4.5, 0.0], 2]], [[[0.0, 4.5], 2]], [[[9.0, 4.5], 2]], [[[4.5, 9.0], 2]]]",100.0,0,0,0,0,0,0,0,0,0,0
